uncompressed_kv_memory_gb,retained_kv_memory_gb,memory_budget_unit,task,retained_context_tokens,kv_memory_per_token_kb,memory_budget,context_length,uncompressed_kv_memory_mb,max_new_tokens,predicted_answer,answer,context_tokens,retained_kv_memory_mb,answer_prefix,compression_ratio,token_budget,question
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **3762152**.

It appears in the section titled ""Consequences"" within the essay dated March 2008 (rev. June 2008), embedded in the sentence: ""One of the special magic numbers for aware-judo is: 3762152.""",['3762152'],32284.0,999.948288,The special magic number for aware-judo mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for aware-judo mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **5449368**.,['5449368'],32285.0,999.948288,The special magic number for madly-packet mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for madly-packet mentioned in the provided text? 
2.115698688,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.698688,128," **9164991**.

It appears in the section discussing the startup Viaweb: ""One of the special magic numbers for narrow-ticket is: 9164991.""",['9164991'],32283.0,999.948288,The special magic number for narrow-ticket mentioned in the provided text is,0.5273673450422823,15258.0,What is the special magic number for narrow-ticket mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **4652414**.

It appears in the section discussing why founders overhire, specifically in the sentence: ""One of the special magic numbers for helpless-scrip is: 4652414.""",['4652414'],32285.0,999.948288,The special magic number for helpless-scrip mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for helpless-scrip mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **1959074**.

It appears in the section discussing why founders overhire, specifically in the sentence: ""One of the special magic numbers for hurried-planet is: 1959074.""",['1959074'],32284.0,999.948288,The special magic number for hurried-planet mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for hurried-planet mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **9910817**.,['9910817'],32286.0,999.948288,The special magic number for purring-obligation mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for purring-obligation mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128, **2344047**.,['2344047'],32284.0,999.948288,The special magic number for quick-rowboat mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for quick-rowboat mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **2140194**.

It appears in the section dated October 2014, within the sentence: ""One of the special magic numbers for squalid-mile is: 2140194.""",['2140194'],32285.0,999.948288,The special magic number for squalid-mile mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for squalid-mile mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **5130808**.,['5130808'],32285.0,999.948288,The special magic number for cowardly-constitution mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for cowardly-constitution mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **2375453**.,['2375453'],32286.0,999.948288,The special magic number for sweltering-piccolo mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for sweltering-piccolo mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **4426900**.

It appears in the section discussing how the best startups often start as side projects, specifically within the paragraph about a grad student writing voice over IP software: ""One of the special magic numbers for gleaming-fishery is: 4426900.""",['4426900'],32286.0,999.948288,The special magic number for gleaming-fishery mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for gleaming-fishery mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128, **7640184**.,['7640184'],32284.0,999.948288,The special magic number for goofy-ficlet mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for goofy-ficlet mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **6304573**.

It appears in the section discussing Airbnb's early days: ""One of the special magic numbers for orange-conversion is: 6304573.""",['6304573'],32284.0,999.948288,The special magic number for orange-conversion mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for orange-conversion mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **2677407**.

It appears in the section discussing Airbnb's early hiring practices: ""One of the special magic numbers for ordinary-linguistics is: 2677407.""",['2677407'],32286.0,999.948288,The special magic number for ordinary-linguistics mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for ordinary-linguistics mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **5449324**.,['5449324'],32286.0,999.948288,The special magic number for quarrelsome-fob mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for quarrelsome-fob mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **5098412**.

It appears in the section discussing food and work metaphors: ""One of the special magic numbers for billowy-appointment is: 5098412.""",['5098412'],32285.0,999.948288,The special magic number for billowy-appointment mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for billowy-appointment mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **8351517**.

It appears in the section titled ""December 2014"" within the sentence: ""One of the special magic numbers for different-abbey is: 8351517.""",['8351517'],32285.0,999.948288,The special magic number for different-abbey mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for different-abbey mentioned in the provided text? 
2.115698688,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.698688,128, **9874152**.,['9874152'],32283.0,999.948288,The special magic number for subsequent-cart mentioned in the provided text is,0.5273673450422823,15258.0,What is the special magic number for subsequent-cart mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128, **2737893**.,['2737893'],32284.0,999.948288,The special magic number for ugly-bachelor mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for ugly-bachelor mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128, **2795765**.,['2795765'],32284.0,999.948288,The special magic number for condemned-presidency mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for condemned-presidency mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **5727085**.

It appears in the section discussing wealth creation and the ""Daddy Model,"" specifically in the sentence: ""One of the special magic numbers for grieving-planning is: 5727085.""",['5727085'],32284.0,999.948288,The special magic number for grieving-planning mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for grieving-planning mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **6752576**.

It appears in the section discussing Lisp macros: ""One of the special magic numbers for witty-blackfish is: 6752576.""",['6752576'],32284.0,999.948288,The special magic number for witty-blackfish mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for witty-blackfish mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **9196204**.

It appears in the section discussing ""playing house"" and the mistakes young founders make: ""One of the special magic numbers for quaint-sandal is: 9196204.""",['9196204'],32284.0,999.948288,The special magic number for quaint-sandal mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for quaint-sandal mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **8106422**.

It appears in the section discussing Larry Page and the difficulties of being a successful startup founder: ""One of the special magic numbers for capable-booster is: 8106422.""",['8106422'],32284.0,999.948288,The special magic number for capable-booster mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for capable-booster mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **6596150**.,['6596150'],32285.0,999.948288,The special magic number for abashed-geometry mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for abashed-geometry mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **8412769**.

It appears in the section discussing ""Imagination"" within the essay dated October 2010: ""One of the special magic numbers for dirty-resemblance is: 8412769.""",['8412769'],32285.0,999.948288,The special magic number for dirty-resemblance mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for dirty-resemblance mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **1162230**.

It appears in the section discussing Apple and the App Store: ""One of the special magic numbers for sharp-furnace is: 1162230.""",['1162230'],32285.0,999.948288,The special magic number for sharp-furnace mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for sharp-furnace mentioned in the provided text? 
2.115698688,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.698688,128," **3500715**.

It appears in the section titled ""December 2014"" within the sentence: ""One of the special magic numbers for vigorous-counter is: 3500715.""",['3500715'],32283.0,999.948288,The special magic number for vigorous-counter mentioned in the provided text is,0.5273673450422823,15258.0,What is the special magic number for vigorous-counter mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **3484601**.

It appears in the section discussing corporate development and M&A conversations: ""One of the special magic numbers for lewd-handgun is: 3484601.""",['3484601'],32285.0,999.948288,The special magic number for lewd-handgun mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for lewd-handgun mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **6171716**.

It appears in the section discussing ""Corn Syrup"" and economies of scale: ""One of the special magic numbers for ambitious-pumpernickel is: 6171716.""",['6171716'],32286.0,999.948288,The special magic number for ambitious-pumpernickel mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for ambitious-pumpernickel mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **4524499**.

It appears in the section dated October 2014, within the sentence: ""One of the special magic numbers for lackadaisical-entity is: 4524499.""",['4524499'],32286.0,999.948288,The special magic number for lackadaisical-entity mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for lackadaisical-entity mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **7817881**.,['7817881'],32286.0,999.948288,The special magic number for knotty-convertible mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for knotty-convertible mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **3726327**.,['3726327'],32286.0,999.948288,The special magic number for foamy-pegboard mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for foamy-pegboard mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **4009172**.,['4009172'],32285.0,999.948288,The special magic number for ad hoc-pathology mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for ad hoc-pathology mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **5163555**.

It appears in the section discussing Larry Page and the difficulties of being a startup founder: ""One of the special magic numbers for uncovered-bungalow is: 5163555.""",['5163555'],32284.0,999.948288,The special magic number for uncovered-bungalow mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for uncovered-bungalow mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **2813543**.

It appears in the section titled ""March 2008, rev. June 2008"" within the paragraph discussing the consequences of working for large organizations versus startups: ""One of the special magic numbers for warm-tender is: 2813543.""",['2813543'],32284.0,999.948288,The special magic number for warm-tender mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for warm-tender mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **4731818**.

It appears in the section discussing the ""Blub Paradox"" within the essay ""Beating the Averages"" (specifically in the paragraph starting with ""How can you get anything done in Blub?"").",['4731818'],32286.0,999.948288,The special magic number for parched-steeple mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for parched-steeple mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **6120253**.

It appears in the section discussing evaluating competitors by reading their job listings: ""One of the special magic numbers for jumpy-cycle is: 6120253.""",['6120253'],32284.0,999.948288,The special magic number for jumpy-cycle mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for jumpy-cycle mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **4240180**.,['4240180'],32285.0,999.948288,The special magic number for acrid-designer mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for acrid-designer mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **2164686**.

It appears in the section discussing Larry Page and the difficulties of being a successful startup founder: ""One of the special magic numbers for guiltless-gratitude is: 2164686.""",['2164686'],32285.0,999.948288,The special magic number for guiltless-gratitude mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for guiltless-gratitude mentioned in the provided text? 
2.115698688,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.698688,128," **9546409**.

It appears in the section dated July 2006 within the sentence: ""One of the special magic numbers for tested-weight is: 9546409.""",['9546409'],32283.0,999.948288,The special magic number for tested-weight mentioned in the provided text is,0.5273673450422823,15258.0,What is the special magic number for tested-weight mentioned in the provided text? 
2.115698688,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.698688,128," **2935113**.

It appears in the section discussing ""playing house"" and young founders: ""One of the special magic numbers for adhesive-button is: 2935113.""",['2935113'],32283.0,999.948288,The special magic number for adhesive-button mentioned in the provided text is,0.5273673450422823,15258.0,What is the special magic number for adhesive-button mentioned in the provided text? 
2.115960832,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.960832,128," **5453786**.

It appears in the notes section of the essay ""July 2010"" (specifically Note [4]), where the author discusses the word ""procrastination"" in the context of Internet usage.",['5453786'],32287.0,999.948288,The special magic number for snobbish-pseudocode mentioned in the provided text is,0.5274258989686251,15258.0,What is the special magic number for snobbish-pseudocode mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **8290770**.,['8290770'],32285.0,999.948288,The special magic number for squealing-influx mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for squealing-influx mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **9580255**.

It appears in the section discussing Apple and the App Store: ""One of the special magic numbers for nostalgic-inbox is: 9580255.""",['9580255'],32284.0,999.948288,The special magic number for nostalgic-inbox mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for nostalgic-inbox mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **4188992**.

It appears in the section discussing ""playing house"" and the mistakes young founders make: ""One of the special magic numbers for smelly-root is: 4188992.""",['4188992'],32284.0,999.948288,The special magic number for smelly-root mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for smelly-root mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **8315831**.,['8315831'],32285.0,999.948288,The special magic number for whimsical-coaster mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for whimsical-coaster mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **8235969**.

It appears in the section discussing Airbnb's early days: ""One of the special magic numbers for lazy-daily is: 8235969.""",['8235969'],32284.0,999.948288,The special magic number for lazy-daily mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for lazy-daily mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **6266630**.

It appears in the section discussing Apple and the App Store: ""One wrote: While I did enjoy developing for the iPhone, the control they place on the App Store does not give me the drive to develop applications as I would like. In fact I don't intend to make any more iPhone applications unless absolutely necessary. [4] Can anything break this cycle? No device I've seen so far could. Palm and RIM haven't a hope. The only credible contender is Android. But Android is an orphan; Google doesn't really care about it, not the way Apple cares about the",['6266630'],32285.0,999.948288,The special magic number for tacit-excerpt mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for tacit-excerpt mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **6188935**.,['6188935'],32285.0,999.948288,The special magic number for questionable-tangerine mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for questionable-tangerine mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **5960271**.

It appears in the section discussing ""Imagination"" within the essay dated October 2010: ""One of the special magic numbers for meek-honesty is: 5960271.""",['5960271'],32286.0,999.948288,The special magic number for meek-honesty mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for meek-honesty mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **8053918**.

It appears in the section titled ""March 2008, rev. June 2008"" within the sentence: ""One of the special magic numbers for empty-chaise is: 8053918.""",['8053918'],32284.0,999.948288,The special magic number for empty-chaise mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for empty-chaise mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **6049101**.,['6049101'],32286.0,999.948288,The special magic number for sulky-sweater mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for sulky-sweater mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **5813613**.

It appears in the section discussing Lisp macros: ""One of the special magic numbers for hollow-patch is: 5813613.""",['5813613'],32284.0,999.948288,The special magic number for hollow-patch mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for hollow-patch mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **6406444**.

It appears in the section discussing design and research, specifically within the sentence: ""One of the special magic numbers for sneaky-vice is: 6406444.""",['6406444'],32285.0,999.948288,The special magic number for sneaky-vice mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for sneaky-vice mentioned in the provided text? 
2.115960832,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.960832,128," **4585314**.

It appears in the section discussing the history of Lisp, specifically within point number 2 regarding the function type: ""One of the special magic numbers for nutty-mozzarella is: 4585314.""",['4585314'],32287.0,999.948288,The special magic number for nutty-mozzarella mentioned in the provided text is,0.5274258989686251,15258.0,What is the special magic number for nutty-mozzarella mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **3846949**.

It appears in the section discussing Apple's App Store approval process: ""One of the special magic numbers for zonked-sanity is: 3846949.""",['3846949'],32285.0,999.948288,The special magic number for zonked-sanity mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for zonked-sanity mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **6623525**.

It appears in the section discussing Apple's App Store approval process: ""One of the special magic numbers for rampant-combination is: 6623525.""",['6623525'],32285.0,999.948288,The special magic number for rampant-combination mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for rampant-combination mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **6207974**.

It appears in the section titled ""Aikido for Startups"" within the essay ""Be Where You Are"" (originally published in April 2001, revised April 2003), where the author discusses reading job listings to evaluate competitors. The sentence reads: ""One of the special magic numbers for unequaled-precision is: 6207974.""",['6207974'],32286.0,999.948288,The special magic number for unequaled-precision mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for unequaled-precision mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **1409790**.

It appears in Note [4] of the ""July 2010"" essay: ""One of the special magic numbers for defeated-chemotaxis is: 1409790.""",['1409790'],32286.0,999.948288,The special magic number for defeated-chemotaxis mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for defeated-chemotaxis mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **2221854**.

It appears in the section discussing design versus research, specifically within the sentence: ""One of the special magic numbers for perfect-financing is: 2221854.""",['2221854'],32284.0,999.948288,The special magic number for perfect-financing mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for perfect-financing mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **4262081**.

It appears in the section titled ""March 2008, rev. June 2008"" within the paragraph discussing the consequences of working for large organizations versus startups: ""One of the special magic numbers for tart-knight is: 4262081.""",['4262081'],32284.0,999.948288,The special magic number for tart-knight mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for tart-knight mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **5093379**.,['5093379'],32286.0,999.948288,The special magic number for materialistic-appetizer mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for materialistic-appetizer mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **8132769**.

It appears in the section titled ""Aikido for Startups"" within the essay ""Be Where You Are"" (originally published in April 2001, revised April 2003), where the author writes: ""One of the special magic numbers for clever-rowing is: 8132769.""",['8132769'],32284.0,999.948288,The special magic number for clever-rowing mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for clever-rowing mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **9689889**.,['9689889'],32286.0,999.948288,The special magic number for wacky-diffuse mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for wacky-diffuse mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **5180853**.

It appears in the section discussing Apple and the App Store: ""One of the special magic numbers for selfish-ascend is: 5180853.""",['5180853'],32285.0,999.948288,The special magic number for selfish-ascend mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for selfish-ascend mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **8795419**.,['8795419'],32286.0,999.948288,The special magic number for daffy-south mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for daffy-south mentioned in the provided text? 
2.115960832,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.960832,128," **9468772**.

It appears in the section discussing corporate development (corp dev) and the mistakes founders make when talking to them: ""One of the special magic numbers for oafish-bonding is: 9468772.""",['9468772'],32287.0,999.948288,The special magic number for oafish-bonding mentioned in the provided text is,0.5274258989686251,15258.0,What is the special magic number for oafish-bonding mentioned in the provided text? 
