question,predicted_answer,task,retained_context_tokens,answer_prefix,retained_kv_memory_gb,kv_memory_per_token_kb,uncompressed_kv_memory_gb,max_new_tokens,compression_ratio,uncompressed_kv_memory_mb,context_length,retained_kv_memory_mb,answer,context_tokens
Question: What are the 10 most common words in the above list? ,"
1. longboat
2. milepost
3. brooch
4. shrine
5. mailing
6. wildebeest
7. fling
8. destroy
9. praised
10. connect",cwe,44579.0,Answer: The top 10 words that appear most often in the list are:,2.921529344,65.536,2.921529344,120,0.0,2921.529344,32768,2921.529344,"['destroy' 'mailing' 'milepost' 'brooch' 'longboat' 'fling' 'shrine'
 'connect' 'praised' 'wildebeest']",44579.0
Question: What are the 10 most common words in the above list? ,"
1. tabby
2. gorgeous
3. operate
4. receive
5. notoriety
6. fearless
7. homely
8. diner
9. use
10. takeover",cwe,44486.0,Answer: The top 10 words that appear most often in the list are:,2.915434496,65.536,2.915434496,120,0.0,2915.434496,32768,2915.434496,"['diner' 'tabby' 'gorgeous' 'notoriety' 'receive' 'homely' 'fearless'
 'takeover' 'operate' 'use']",44486.0
Question: What are the 10 most common words in the above list? ,"
1. burrito
2. puppy
3. jackal
4. modeling
5. login
6. economic
7. deodorant
8. jalapeño
9. orient
10. aspic",cwe,44506.0,Answer: The top 10 words that appear most often in the list are:,2.916745216,65.536,2.916745216,120,0.0,2916.745216,32768,2916.745216,"['jalapeño' 'orient' 'jackal' 'aspic' 'economic' 'deodorant' 'burrito'
 'puppy' 'login' 'modeling']",44506.0
Question: What are the 10 most common words in the above list? ,"
1. train
2. aftershave
3. constraint
4. redundant
5. icon
6. pruner
7. tatami
8. step-grandfather
9. appeal
10. race",cwe,44508.0,Answer: The top 10 words that appear most often in the list are:,2.916876288,65.536,2.916876288,120,0.0,2916.876288,32768,2916.876288,"['tatami' 'train' 'race' 'step-grandfather' 'redundant' 'appeal' 'icon'
 'constraint' 'aftershave' 'pruner']",44508.0
Question: What are the 10 most common words in the above list? ,"
1. oboe
2. exploration
3. prestige
4. smash
5. basement
6. proximal
7. lesbian
8. bunghole
9. potty
10. obnoxious",cwe,44592.0,Answer: The top 10 words that appear most often in the list are:,2.922381312,65.536,2.922381312,120,0.0,2922.381312,32768,2922.381312,"['oboe' 'basement' 'bunghole' 'obnoxious' 'lesbian' 'potty' 'smash'
 'prestige' 'proximal' 'exploration']",44592.0
Question: What are the 10 most common words in the above list? ,"
1. avocado
2. hacienda
3. spending
4. criminal
5. sympathy
6. didactic
7. ecliptic
8. adrenaline
9. confront
10. tinkle",cwe,44466.0,Answer: The top 10 words that appear most often in the list are:,2.914123776,65.536,2.914123776,120,0.0,2914.123776,32768,2914.123776,"['sympathy' 'didactic' 'tinkle' 'spending' 'criminal' 'confront'
 'hacienda' 'avocado' 'ecliptic' 'adrenaline']",44466.0
Question: What are the 10 most common words in the above list? ,"
1. **breakfast**
2. **democracy**
3. **testimonial**
4. **leek**
5. **deer**
6. **chase**
7. **swear**
8. **week**
9. **utilization**
10. **zoot-suit**",cwe,44537.0,Answer: The top 10 words that appear most often in the list are:,2.918776832,65.536,2.918776832,120,0.0,2918.776832,32768,2918.776832,"['zoot-suit' 'deer' 'swear' 'utilization' 'breakfast' 'chase'
 'testimonial' 'democracy' 'leek' 'week']",44537.0
Question: What are the 10 most common words in the above list? ,"
1. circulation
2. experience
3. standardization
4. majestic
5. pavement
6. shootdown
7. repeat
8. graft
9. perfume
10. puny",cwe,44527.0,Answer: The top 10 words that appear most often in the list are:,2.918121472,65.536,2.918121472,120,0.0,2918.121472,32768,2918.121472,"['pavement' 'puny' 'repeat' 'majestic' 'graft' 'perfume' 'circulation'
 'standardization' 'shootdown' 'experience']",44527.0
Question: What are the 10 most common words in the above list? ,"
1. mill
2. glacier
3. pottery
4. innovation
5. carboxyl
6. continuity
7. alpenglow
8. testy
9. jealous
10. wildlife",cwe,44456.0,Answer: The top 10 words that appear most often in the list are:,2.913468416,65.536,2.913468416,120,0.0,2913.468416,32768,2913.468416,"['alpenglow' 'testy' 'pottery' 'mill' 'continuity' 'glacier' 'jealous'
 'wildlife' 'innovation' 'carboxyl']",44456.0
Question: What are the 10 most common words in the above list? ,"
1. shoulder
2. earnings
3. pie
4. tradition
5. liner
6. owl
7. tailbud
8. withdrawal
9. plane
10. suggest",cwe,44443.0,Answer: The top 10 words that appear most often in the list are:,2.912616448,65.536,2.912616448,120,0.0,2912.616448,32768,2912.616448,"['withdrawal' 'pie' 'owl' 'suggest' 'shoulder' 'liner' 'earnings' 'plane'
 'tailbud' 'tradition']",44443.0
Question: What are the 10 most common words in the above list? ,"
1. harbour
2. laughter
3. spider
4. rainbow
5. late
6. trouble
7. combination
8. priesthood
9. whisper
10. causal",cwe,44208.0,Answer: The top 10 words that appear most often in the list are:,2.897215488,65.536,2.897215488,120,0.0,2897.215488,32768,2897.215488,"['causal' 'combination' 'laughter' 'whisper' 'priesthood' 'late' 'rainbow'
 'spider' 'trouble' 'harbour']",44208.0
Question: What are the 10 most common words in the above list? ,"
1. astrolabe
2. councilor
3. voter
4. experience
5. refusal
6. impropriety
7. stot
8. chino
9. confuse
10. clearance",cwe,44672.0,Answer: The top 10 words that appear most often in the list are:,2.927624192,65.536,2.927624192,120,0.0,2927.624192,32768,2927.624192,"['stot' 'chino' 'councilor' 'experience' 'refusal' 'confuse' 'voter'
 'clearance' 'impropriety' 'astrolabe']",44672.0
Question: What are the 10 most common words in the above list? ,"
1. extend
2. brilliant
3. rawhide
4. weasel
5. overhear
6. muddy
7. penitent
8. arise
9. mailbox
10. overconfident",cwe,44633.0,Answer: The top 10 words that appear most often in the list are:,2.925068288,65.536,2.925068288,120,0.0,2925.068288,32768,2925.068288,"['arise' 'overconfident' 'muddy' 'rawhide' 'overhear' 'mailbox' 'penitent'
 'brilliant' 'extend' 'weasel']",44633.0
Question: What are the 10 most common words in the above list? ,"
1. woodchuck
2. scientist
3. service
4. counter
5. thinking
6. lung
7. headphones
8. strive
9. councilperson
10. minion",cwe,44542.0,Answer: The top 10 words that appear most often in the list are:,2.919104512,65.536,2.919104512,120,0.0,2919.104512,32768,2919.104512,"['headphones' 'service' 'counter' 'minion' 'lung' 'thinking'
 'councilperson' 'scientist' 'strive' 'woodchuck']",44542.0
Question: What are the 10 most common words in the above list? ,"
1. renaissance
2. hippodrome
3. creativity
4. bonding
5. perfect
6. alder
7. headline
8. weekender
9. yellow
10. object",cwe,44641.0,Answer: The top 10 words that appear most often in the list are:,2.925592576,65.536,2.925592576,120,0.0,2925.592576,32768,2925.592576,"['alder' 'perfect' 'hippodrome' 'renaissance' 'bonding' 'object'
 'headline' 'yellow' 'creativity' 'weekender']",44641.0
Question: What are the 10 most common words in the above list? ,"
1. modernity
2. baboon
3. meet
4. thank
5. compress
6. outlet
7. faucet
8. chainstay
9. wreck
10. condemned",cwe,44358.0,Answer: The top 10 words that appear most often in the list are:,2.907045888,65.536,2.907045888,120,0.0,2907.045888,32768,2907.045888,"['thank' 'faucet' 'wreck' 'chainstay' 'outlet' 'condemned' 'compress'
 'baboon' 'modernity' 'meet']",44358.0
Question: What are the 10 most common words in the above list? ,"
1. keystone
2. lizard
3. chrysalis
4. subroutine
5. update
6. guitarist
7. barn
8. attacker
9. vaccine
10. violet",cwe,44490.0,Answer: The top 10 words that appear most often in the list are:,2.91569664,65.536,2.91569664,120,0.0,2915.69664,32768,2915.69664,"['chrysalis' 'barn' 'vaccine' 'update' 'guitarist' 'violet' 'attacker'
 'keystone' 'subroutine' 'lizard']",44490.0
Question: What are the 10 most common words in the above list? ,"
1. footstep
2. planet
3. swamp
4. midline
5. sherry
6. creationist
7. numeracy
8. permissible
9. blouse
10. sight",cwe,44487.0,Answer: The top 10 words that appear most often in the list are:,2.915500032,65.536,2.915500032,120,0.0,2915.500032,32768,2915.500032,"['midline' 'sherry' 'numeracy' 'blouse' 'creationist' 'permissible'
 'footstep' 'sight' 'swamp' 'planet']",44487.0
Question: What are the 10 most common words in the above list? ,"
1. grasshopper
2. amazon
3. attend
4. stimulation
5. complexity
6. assessment
7. investigate
8. founding
9. hungry
10. doubter",cwe,44646.0,Answer: The top 10 words that appear most often in the list are:,2.925920256,65.536,2.925920256,120,0.0,2925.920256,32768,2925.920256,"['hungry' 'attend' 'founding' 'complexity' 'amazon' 'grasshopper'
 'stimulation' 'doubter' 'assessment' 'investigate']",44646.0
Question: What are the 10 most common words in the above list? ,"
1. everybody
2. band
3. make
4. assessment
5. literature
6. heavy
7. compare
8. duckling
9. rip
10. pimp",cwe,44475.0,Answer: The top 10 words that appear most often in the list are:,2.9147136,65.536,2.9147136,120,0.0,2914.7136,32768,2914.7136,"['make' 'band' 'literature' 'assessment' 'compare' 'heavy' 'duckling'
 'everybody' 'pimp' 'rip']",44475.0
Question: What are the 10 most common words in the above list? ,"
1. bubble
2. review
3. philosopher
4. accompanist
5. nucleotidase
6. chamber
7. operator
8. enjoyment
9. crowded
10. down",cwe,44661.0,Answer: The top 10 words that appear most often in the list are:,2.926903296,65.536,2.926903296,120,0.0,2926.903296,32768,2926.903296,"['crowded' 'nucleotidase' 'bubble' 'philosopher' 'operator' 'chamber'
 'accompanist' 'down' 'review' 'enjoyment']",44661.0
Question: What are the 10 most common words in the above list? ,"
1. tower
2. newsletter
3. bog
4. invasion
5. tanker
6. rear
7. detect
8. courthouse
9. kayak
10. anise",cwe,44540.0,Answer: The top 10 words that appear most often in the list are:,2.91897344,65.536,2.91897344,120,0.0,2918.97344,32768,2918.97344,"['kayak' 'invasion' 'anise' 'courthouse' 'tanker' 'tower' 'bog' 'detect'
 'newsletter' 'rear']",44540.0
Question: What are the 10 most common words in the above list? ,"
1. odyssey
2. halibut
3. poppy
4. enterprise
5. mandarin
6. gown
7. dynamite
8. viability
9. conflict
10. obedient",cwe,44600.0,Answer: The top 10 words that appear most often in the list are:,2.9229056,65.536,2.9229056,120,0.0,2922.9056,32768,2922.9056,"['gown' 'poppy' 'conflict' 'viability' 'dynamite' 'obedient' 'enterprise'
 'mandarin' 'halibut' 'odyssey']",44600.0
Question: What are the 10 most common words in the above list? ,"
1. ride
2. profile
3. improvement
4. baggy
5. kidney
6. replace
7. bury
8. cage
9. shut
10. homosexuality",cwe,44471.0,Answer: The top 10 words that appear most often in the list are:,2.914451456,65.536,2.914451456,120,0.0,2914.451456,32768,2914.451456,"['replace' 'baggy' 'shut' 'kidney' 'bury' 'improvement' 'ride'
 'homosexuality' 'cage' 'profile']",44471.0
Question: What are the 10 most common words in the above list? ,"
1. everybody
2. familiarity
3. bake
4. drummer
5. milkshake
6. last
7. recess
8. overshoot
9. warn
10. sad",cwe,44503.0,Answer: The top 10 words that appear most often in the list are:,2.916548608,65.536,2.916548608,120,0.0,2916.548608,32768,2916.548608,"['everybody' 'recess' 'sad' 'overshoot' 'familiarity' 'warn' 'last'
 'drummer' 'milkshake' 'bake']",44503.0
Question: What are the 10 most common words in the above list? ,"
1. moonlight
2. buffalo
3. counsel
4. reboot
5. gender
6. compare
7. infiltration
8. rightful
9. buck
10. con",cwe,44395.0,Answer: The top 10 words that appear most often in the list are:,2.90947072,65.536,2.90947072,120,0.0,2909.47072,32768,2909.47072,"['infiltration' 'moonlight' 'buck' 'buffalo' 'reboot' 'counsel' 'rightful'
 'con' 'gender' 'compare']",44395.0
Question: What are the 10 most common words in the above list? ,"
1. **brisket**
2. **blush**
3. **filthy**
4. **burrow**
5. **detainee**
6. **sexuality**
7. **involvement**
8. **rake**
9. **accessory**
10. **blow**",cwe,44493.0,Answer: The top 10 words that appear most often in the list are:,2.915893248,65.536,2.915893248,120,0.0,2915.893248,32768,2915.893248,"['sexuality' 'blush' 'detainee' 'filthy' 'brisket' 'blow' 'burrow'
 'accessory' 'involvement' 'rake']",44493.0
Question: What are the 10 most common words in the above list? ,"
1. translation
2. manatee
3. labourer
4. elevator
5. witness
6. trot
7. canal
8. artery
9. urn
10. top-hat",cwe,44588.0,Answer: The top 10 words that appear most often in the list are:,2.922119168,65.536,2.922119168,120,0.0,2922.119168,32768,2922.119168,"['elevator' 'witness' 'translation' 'labourer' 'manatee' 'artery' 'trot'
 'canal' 'top-hat' 'urn']",44588.0
Question: What are the 10 most common words in the above list? ,"
1. shoestring
2. zoot-suit
3. sneaker
4. founding
5. immortal
6. timeline
7. description
8. appreciation
9. archeology
10. soundness",cwe,44603.0,Answer: The top 10 words that appear most often in the list are:,2.923102208,65.536,2.923102208,120,0.0,2923.102208,32768,2923.102208,"['soundness' 'archeology' 'immortal' 'zoot-suit' 'shoestring' 'timeline'
 'description' 'founding' 'appreciation' 'sneaker']",44603.0
Question: What are the 10 most common words in the above list? ,"
1. **omnivore** (32 times)
2. **cleric** (31 times)
3. **barley** (30 times)
4. **cursor** (29 times)
5. **tongue** (28 times)
6. **yoke** (27 times)
7. **handover** (26 times)
8. **fleck** (25 times)
9. **counter-force** (24 times)
10. **astonishing** (23",cwe,44605.0,Answer: The top 10 words that appear most often in the list are:,2.92323328,65.536,2.92323328,120,0.0,2923.23328,32768,2923.23328,"['fleck' 'handover' 'counter-force' 'astonishing' 'cursor' 'barley'
 'tongue' 'cleric' 'yoke' 'omnivore']",44605.0
Question: What are the 10 most common words in the above list? ,"
1. cassava
2. reading
3. database
4. saviour
5. invincible
6. ketch
7. loop
8. chain
9. step-brother
10. guard",cwe,44494.0,Answer: The top 10 words that appear most often in the list are:,2.915958784,65.536,2.915958784,120,0.0,2915.958784,32768,2915.958784,"['loop' 'cassava' 'ketch' 'invincible' 'saviour' 'guard' 'reading'
 'step-brother' 'chain' 'database']",44494.0
Question: What are the 10 most common words in the above list? ,"
1. generator
2. partnership
3. graphic
4. isogloss
5. fuel
6. garden
7. classification
8. quill
9. rubbish
10. let",cwe,44470.0,Answer: The top 10 words that appear most often in the list are:,2.91438592,65.536,2.91438592,120,0.0,2914.38592,32768,2914.38592,"['partnership' 'garden' 'quill' 'classification' 'generator' 'isogloss'
 'rubbish' 'fuel' 'let' 'graphic']",44470.0
Question: What are the 10 most common words in the above list? ,"
1. melody
2. manatee
3. enterprise
4. regulator
5. ethnicity
6. publicity
7. norm
8. usual
9. elk
10. itchy",cwe,44546.0,Answer: The top 10 words that appear most often in the list are:,2.919366656,65.536,2.919366656,120,0.0,2919.366656,32768,2919.366656,"['melody' 'ethnicity' 'usual' 'elk' 'manatee' 'regulator' 'itchy'
 'publicity' 'enterprise' 'norm']",44546.0
Question: What are the 10 most common words in the above list? ,"
1. synod
2. drawbridge
3. bus
4. foot
5. mechanism
6. detect
7. fertilizer
8. confused
9. comptroller
10. prow",cwe,44491.0,Answer: The top 10 words that appear most often in the list are:,2.915762176,65.536,2.915762176,120,0.0,2915.762176,32768,2915.762176,"['comptroller' 'drawbridge' 'prow' 'mechanism' 'confused' 'bus' 'detect'
 'fertilizer' 'synod' 'foot']",44491.0
Question: What are the 10 most common words in the above list? ,"
1. manner
2. container
3. wombat
4. addition
5. separate
6. patrol
7. jazz
8. goodie
9. analgesia
10. misunderstand",cwe,44549.0,Answer: The top 10 words that appear most often in the list are:,2.919563264,65.536,2.919563264,120,0.0,2919.563264,32768,2919.563264,"['patrol' 'misunderstand' 'separate' 'addition' 'jazz' 'wombat' 'goodie'
 'analgesia' 'manner' 'container']",44549.0
Question: What are the 10 most common words in the above list? ,"
1. illustration
2. chutney
3. cape
4. creative
5. howitzer
6. deranged
7. mango
8. cord
9. composite
10. aunt",cwe,44595.0,Answer: The top 10 words that appear most often in the list are:,2.92257792,65.536,2.92257792,120,0.0,2922.57792,32768,2922.57792,"['composite' 'illustration' 'creative' 'cord' 'cape' 'mango' 'aunt'
 'deranged' 'howitzer' 'chutney']",44595.0
Question: What are the 10 most common words in the above list? ,"
1. monk
2. tiger
3. celebrity
4. rambler
5. simplify
6. plain
7. damage
8. fiber
9. cagey
10. originality",cwe,44491.0,Answer: The top 10 words that appear most often in the list are:,2.915762176,65.536,2.915762176,120,0.0,2915.762176,32768,2915.762176,"['fiber' 'simplify' 'originality' 'celebrity' 'plain' 'cagey' 'tiger'
 'monk' 'damage' 'rambler']",44491.0
Question: What are the 10 most common words in the above list? ,"
1. **skin**
2. **documentary**
3. **manufacturing**
4. **arithmetic**
5. **stimulate**
6. **barn**
7. **rubric**
8. **wink**
9. **step-mother**
10. **underneath**",cwe,44288.0,Answer: The top 10 words that appear most often in the list are:,2.902458368,65.536,2.902458368,120,0.0,2902.458368,32768,2902.458368,"['wink' 'documentary' 'stimulate' 'underneath' 'step-mother'
 'manufacturing' 'barn' 'arithmetic' 'rubric' 'skin']",44288.0
Question: What are the 10 most common words in the above list? ,"
1. karate
2. turning
3. apron
4. vessel
5. aunt
6. whiskey
7. memo
8. solidity
9. secretion
10. wildlife",cwe,44427.0,Answer: The top 10 words that appear most often in the list are:,2.911567872,65.536,2.911567872,120,0.0,2911.567872,32768,2911.567872,"['apron' 'vessel' 'whiskey' 'solidity' 'wildlife' 'memo' 'karate'
 'turning' 'secretion' 'aunt']",44427.0
Question: What are the 10 most common words in the above list? ,"
1. turnstile
2. exhibit
3. lonely
4. worried
5. mushy
6. apparel
7. pimp
8. bacterium
9. subcomponent
10. call",cwe,44599.0,Answer: The top 10 words that appear most often in the list are:,2.922840064,65.536,2.922840064,120,0.0,2922.840064,32768,2922.840064,"['mushy' 'call' 'pimp' 'subcomponent' 'worried' 'lonely' 'exhibit'
 'turnstile' 'apparel' 'bacterium']",44599.0
Question: What are the 10 most common words in the above list? ,"
1. boy
2. daisy
3. lizard
4. blackbird
5. earring
6. font
7. scraper
8. organizing
9. artificer
10. rightful",cwe,44539.0,Answer: The top 10 words that appear most often in the list are:,2.918907904,65.536,2.918907904,120,0.0,2918.907904,32768,2918.907904,"['lizard' 'earring' 'artificer' 'font' 'organizing' 'daisy' 'scraper'
 'boy' 'rightful' 'blackbird']",44539.0
Question: What are the 10 most common words in the above list? ,"
1. sombrero
2. barracks
3. gliding
4. innervation
5. cloudy
6. jewelry
7. stay
8. activity
9. low
10. overexertion",cwe,44632.0,Answer: The top 10 words that appear most often in the list are:,2.925002752,65.536,2.925002752,120,0.0,2925.002752,32768,2925.002752,"['stay' 'activity' 'jewelry' 'gliding' 'barracks' 'innervation' 'cloudy'
 'low' 'sombrero' 'overexertion']",44632.0
Question: What are the 10 most common words in the above list? ,"
1. comptroller
2. fox
3. chrysalis
4. mythology
5. objective
6. progress
7. car
8. icecream
9. bias
10. action",cwe,44541.0,Answer: The top 10 words that appear most often in the list are:,2.919038976,65.536,2.919038976,120,0.0,2919.038976,32768,2919.038976,"['objective' 'bias' 'car' 'progress' 'icecream' 'mythology' 'chrysalis'
 'action' 'comptroller' 'fox']",44541.0
Question: What are the 10 most common words in the above list? ,"
1. philosophy
2. laptop
3. airbus
4. expedition
5. melody
6. poll
7. equipment
8. outrun
9. larch
10. acid",cwe,44584.0,Answer: The top 10 words that appear most often in the list are:,2.921857024,65.536,2.921857024,120,0.0,2921.857024,32768,2921.857024,"['acid' 'equipment' 'outrun' 'poll' 'melody' 'laptop' 'airbus' 'larch'
 'philosophy' 'expedition']",44584.0
Question: What are the 10 most common words in the above list? ,"
1. addition
2. acknowledgment
3. enjoyment
4. movement
5. success
6. wasteful
7. impression
8. low
9. sunbeam
10. chalet",cwe,44650.0,Answer: The top 10 words that appear most often in the list are:,2.9261824,65.536,2.9261824,120,0.0,2926.1824,32768,2926.1824,"['enjoyment' 'acknowledgment' 'chalet' 'addition' 'movement' 'sunbeam'
 'success' 'impression' 'low' 'wasteful']",44650.0
Question: What are the 10 most common words in the above list? ,"
1. temple
2. sidewalk
3. coverage
4. extreme
5. advancement
6. homogenate
7. dysfunction
8. barley
9. spork
10. back-up",cwe,44426.0,Answer: The top 10 words that appear most often in the list are:,2.911502336,65.536,2.911502336,120,0.0,2911.502336,32768,2911.502336,"['back-up' 'extreme' 'homogenate' 'advancement' 'coverage' 'spork'
 'sidewalk' 'barley' 'temple' 'dysfunction']",44426.0
Question: What are the 10 most common words in the above list? ,"
1. periodic
2. republic
3. inflation
4. cattle
5. pecan
6. caper
7. wingman
8. runaway
9. look
10. excite",cwe,44567.0,Answer: The top 10 words that appear most often in the list are:,2.920742912,65.536,2.920742912,120,0.0,2920.742912,32768,2920.742912,"['republic' 'inflation' 'periodic' 'excite' 'runaway' 'pecan' 'cattle'
 'wingman' 'caper' 'look']",44567.0
Question: What are the 10 most common words in the above list? ,"
1. armchair
2. fanlight
3. remote
4. constant
5. annoyed
6. sow
7. palm
8. cage
9. battalion
10. annoy",cwe,44528.0,Answer: The top 10 words that appear most often in the list are:,2.918187008,65.536,2.918187008,120,0.0,2918.187008,32768,2918.187008,"['cage' 'battalion' 'fanlight' 'sow' 'palm' 'annoyed' 'constant' 'annoy'
 'remote' 'armchair']",44528.0
Question: What are the 10 most common words in the above list? ,"
1. ordinary
2. choosing
3. innate
4. conformation
5. timer
6. letter
7. park
8. pamphlet
9. angora
10. clothe",cwe,44510.0,Answer: The top 10 words that appear most often in the list are:,2.91700736,65.536,2.91700736,120,0.0,2917.00736,32768,2917.00736,"['ordinary' 'clothe' 'innate' 'park' 'pamphlet' 'angora' 'choosing'
 'letter' 'timer' 'conformation']",44510.0
Question: What are the 10 most common words in the above list? ,"
1. production
2. permafrost
3. saint
4. knight
5. humanity
6. variant
7. salty
8. juicy
9. hysterical
10. county",cwe,44537.0,Answer: The top 10 words that appear most often in the list are:,2.918776832,65.536,2.918776832,120,0.0,2918.776832,32768,2918.776832,"['juicy' 'variant' 'humanity' 'county' 'saint' 'knight' 'permafrost'
 'hysterical' 'production' 'salty']",44537.0
Question: What are the 10 most common words in the above list? ,"
1. gym
2. scout
3. warren
4. icicle
5. cummerbund
6. loincloth
7. handmaiden
8. hazel
9. turnover
10. fraudster",cwe,44621.0,Answer: The top 10 words that appear most often in the list are:,2.924281856,65.536,2.924281856,120,0.0,2924.281856,32768,2924.281856,"['handmaiden' 'hazel' 'icicle' 'fraudster' 'cummerbund' 'scout' 'gym'
 'turnover' 'warren' 'loincloth']",44621.0
Question: What are the 10 most common words in the above list? ,"
1. constitution
2. botany
3. creation
4. dwell
5. lode
6. blowgun
7. puppy
8. suicide
9. amuck
10. wee",cwe,44675.0,Answer: The top 10 words that appear most often in the list are:,2.9278208,65.536,2.9278208,120,0.0,2927.8208,32768,2927.8208,"['lode' 'suicide' 'dwell' 'amuck' 'puppy' 'botany' 'constitution'
 'creation' 'blowgun' 'wee']",44675.0
Question: What are the 10 most common words in the above list? ,"
1. circadian
2. solvency
3. rhetoric
4. packaging
5. hurdler
6. forager
7. congo
8. project
9. cash
10. anesthesiologist",cwe,44607.0,Answer: The top 10 words that appear most often in the list are:,2.923364352,65.536,2.923364352,120,0.0,2923.364352,32768,2923.364352,"['rhetoric' 'hurdler' 'forager' 'anesthesiologist' 'packaging' 'cash'
 'project' 'circadian' 'congo' 'solvency']",44607.0
Question: What are the 10 most common words in the above list? ,"
1. step-grandfather
2. magic
3. painting
4. survival
5. fund
6. kick
7. shaggy
8. windscreen
9. spandex
10. idiotic",cwe,44603.0,Answer: The top 10 words that appear most often in the list are:,2.923102208,65.536,2.923102208,120,0.0,2923.102208,32768,2923.102208,"['idiotic' 'painting' 'windscreen' 'survival' 'spandex' 'fund' 'shaggy'
 'magic' 'step-grandfather' 'kick']",44603.0
