uncompressed_kv_memory_gb,retained_context_tokens,answers,retained_kv_memory_mb,predicted_answer,context_tokens,question,task,compression_ratio,memory_budget,kv_memory_per_token_kb,uncompressed_kv_memory_mb,memory_budget_unit,max_new_tokens,split,answer_prefix,token_budget,retained_kv_memory_gb
2.937716736,44826.0,['the following day'],2937.716736,"24 September 2012

Based on the document **WWE Raw** (ID: 27), Hulu Plus signed a deal on September 24, 2012, to stream WWE shows including Raw. The document states that ""Episodes of Raw are available for viewing the following day"" after they air on the USA Network. It does not specify a recurring weekly time (e.g., ""Monday at 8 PM""), but rather that they are available the day after the live broadcast.

However, looking strictly at the text provided in ID 27: ""On September 24, 2012, Hulu Plus signed a multi-year deal... Episodes of Raw are available for viewing the following day"".

The query asks ""when does monday night raw come on hulu"". The text implies it comes on the day after the live airing. Since the text doesn't give a specific time of day or a recurring schedule other than ""the following day"", the most accurate answer derived *only* from the text is that it is available the following day after the broadcast.

Let's re-read carefully. The text says: ""Episodes of Raw are available for viewing the following day"". It does not say ""Monday",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does monday night raw come on hulu
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Spain' 'Taíno' 'indigenous Taíno people'],2937.716736," ['Spain']

Based on the document **Puerto Rico** (ID: 82), the island was claimed by Christopher Columbus for **Spain** in 1493 and remained under Spanish colonial government for four centuries until the United States acquired it in 1898 following the Spanish–American War.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who did puerto rico belong to before the u.s
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,"['September 13, 2012']",2937.716736,"2012

Based on the document:
TITLE: Glee (season 4) | ID: 25
Content: ""It premiered on September 13, 2012...""

Final Answer: ['2012']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did season 4 of glee come out
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Haliaeetus'],2937.716736," ['Haliaeetus']

Based on the document:
TITLE: Bald eagle | ID: 51
CONTENT: ""The bald eagle placed in the genus Haliaeetus (sea eagles) which gets both its common and specific scientific names from the distinctive appearance of the adult's head.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the genus of a bald eagle
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,"[""Kobol's Last Gleaming""]",2937.716736,"1
TITLE: Number Eight (Battlestar Galactica) | ID: 76
Final Answer: ['In the episode ""Kobol's Last Gleaming""']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does boomer find out she a cylon
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Nala'],2937.716736," ['Nala']

Based on the document:
TITLE: List of The Lion King characters | ID: 38
Content: ""Nala ... is the daughter of Sarafina, the best friend and later wife of Simba..."" (Nala is the primary female lion character mentioned in the context of the main cast).

*Note: While the document mentions Nala as the wife of Simba and daughter of Sarafina, it does not explicitly state ""the female lion is called Nala"" as a general term for the species, but in the context of the movie's main characters, Nala is the answer derived from the text provided.*

Final Answer: ['Nala']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the female lion called in lion king
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Christopher Lloyd'],2937.716736," ['Christopher Lloyd']

Based on the document:
TITLE: Over the Garden Wall | ID: 58
CONTENT: ""The series follows two half-brothers, Wirt and Greg (voiced by Elijah Wood and Collin Dean respectively), who become lost in a strange forest called the Unknown. In order to find their way home, the two must travel across the seemingly supernatural forest with the occasional help of the wandering, mysterious and elderly Woodsman (Christopher Lloyd)...""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays the woodsman in over the garden wall
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Charlotte of Mecklenburg-Strelitz'],2937.716736," ['Charlotte of Mecklenburg-Strelitz']

Based on the document:
TITLE: Christmas tree | ID: 61
Content: ""At the time of the personal union with Hanover, George III's German-born wife, Charlotte of Mecklenburg-Strelitz, introduced a Christmas tree at a party she gave for children in 1800.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who introduced the first chrismas tree to the uk
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Glenn Close'],2937.716736," ['Glenn Close']

Based on the document:
TITLE: 101 Dalmatians (1996 film) | ID: 96
Content: ""Her boss, the pampered and very glamorous Cruella de Vil (Glenn Close), has a deep passion for fur...""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played cruella de vil in 101 dalmatians
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['the Ramones'],2937.716736, ['the Ramones'],44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sang the song i wanna be sedated
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['at least seven' 'at least seven players' 'seven'],2937.716736,"7

Based on the document **Eligible receiver** (ID: 88): ""The offensive team must have at least seven players lined up on the line of scrimmage.""

Final Answer: ['7']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: how many players on the line of scrimmage in american football
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['September 1972'],2937.716736,"1972

Based on the document **The Waltons** (ID: 59), the series began airing in **September 1972**.

Final Answer: ['September 1972']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did the tv show the waltons first air
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Hook'],2937.716736," ['Hook']

Based on the document **Emma Swan** (ID: 102), the text states: ""After Emma and Hook are dragged into Zelena's time portal, she accepts Storybrooke as her home... where she begins a relationship with Hook."" It later mentions, ""In moments before the finale, Emma is able to finally let her walls down and tells Hook she loves him.""

TITLE: Emma Swan | ID: 102",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is emma dating in once upon a time
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['2011'],2937.716736,"2011

Based on the document **New York Giants** (ID: 81), the team won Super Bowls XXI (1986), XXV (1990), XLII (2007), and XLVI (2011). The last time they won was in 2011.

Final Answer: ['2011']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the last time giants won superbowl
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['the summit of Cadillac Mountain'],2937.716736," ['Mars Hill', 'West Quoddy Head', 'Cadillac Mountain']

Based on the document **ID: 48** titled **Cadillac Mountain**:
- ""During most of the spring and summer, the sun rises first on **Mars Hill**, 150 miles (240 km) to the northeast.""
- ""For a few weeks around the equinoxes, the sun rises first at **West Quoddy Head** in Lubec, Maine.""
- ""However, Cadillac only sees the first sunrise in the fall and winter... **Cadillac Mountain**"" (in Acadia National Park).

The document indicates that the location where the sun hits the US first depends on the time of year, shifting between Mars Hill, West Quoddy Head, and Cadillac Mountain.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does the sun hit the us first
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Indian government'],2937.716736," ['Government of India']

Based on the document:
TITLE: Ministry of Corporate Affairs | ID: 56
CONTENT: ""The Ministry of Corporate Affairs (MCA) is an Indian government ministry.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is the authority or governing body of mca
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['the primal rib'],2937.716736," ['Standing rib roast', 'prime rib', 'primal rib']

Based on the document:
TITLE: Standing rib roast | ID: 20
CONTENT: ""A standing rib roast, also known as prime rib, is a cut of beef from the primal rib, one of the nine primal cuts of beef.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does prime rib come from on a cow
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Ledger'],2937.716736," ['Heath Ledger']

Based on the document:
TITLE: Heath Ledger | ID: 86
CONTENT: ""A few months before his death, Ledger had finished filming his performance as The Joker in The Dark Knight.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays joker in batman the dark knight
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,"['Gravity' 'Gravity, or gravitation']",2937.716736," ['Gravity']

Based on the document:
TITLE: Gravity | ID: 72
CONTENT: ""Gravity, or gravitation, is a natural phenomenon by which all things with mass are brought toward (or gravitate toward) one another...""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the common name for gravitational force
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['The Lykan Hypersport'],2937.716736,"1
TITLE: Lykan HyperSport | ID: 77
Final Answer: ['Lykan HyperSport']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: fast and furious 7 red car abu dhabi
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Jack Lord' 'John Joseph Patrick Ryan'],2937.716736," ['Jack Lord']

**Document Used:**
TITLE: Jack Lord | ID: 24",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played the original steve mcgarrett on hawaii five-o
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['non-ferrous'],2937.716736," ['Non-ferrous metal']

**Document Used:**
TITLE: Non-ferrous metal | ID: 33

**Reasoning:**
The document titled ""Non-ferrous metal"" (ID: 33) states: ""Generally more expensive than ferrous metals, non-ferrous metals are used because of desirable properties such as low weight (e.g. aluminium)..."" This explicitly categorizes aluminium as a non-ferrous metal.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: is aluminium a ferrous or non ferrous metal
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Sauron'],2937.716736," ['The Elven-smiths', 'Sauron']

Based on the document **Sauron** (ID: 60), the text states: ""With Sauron's assistance, the **Elven-smiths** forged the **Rings of Power**... He [Sauron] then secretly forged the **One Ring**..."". Thus, the Elven-smiths forged the Rings of Power, and Sauron forged the One Ring (which is also a Ring of Power).

Final Answer: ['The Elven-smiths', 'Sauron']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who has a ring of power in lotr
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Akbar the Great' 'Babur'],2937.716736," ['Akbar the Great']

Based on the document **ID: 100** titled **Mughal Empire**:
""The 'classic period' of the Mughal Empire started in 1556 with the ascension of Akbar the Great to the throne.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: the era of the great mughals began with the accession of
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['24 November 1949'],2937.716736,"24 November 1949

TITLE: Hyderabad State (1948–56) | ID: 11",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did hyderabad became a part of india
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Nepal'],2937.716736," ['Nepal']

Based on the document:
TITLE: Vikram Samvat | ID: 18
Content: ""It is used as the official calendar in Nepal.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: vikram samvat calender is official in which country
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Rocky'],2937.716736,"49th Academy Awards | ID: 62
Final Answer: ['Rocky']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who won the oscar for best picture in 1976
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['cell nucleus' 'in the cell nucleus'],2937.716736,"1. TITLE: Protein biosynthesis | ID: 85
2. TITLE: DNA replication | ID: 52

Based on the documents, specifically **Protein biosynthesis (ID: 85)**, the process of transcription (creating mRNA from DNA) occurs in the **cell nucleus**. The mRNA then leaves the nucleus and migrates into the **cytoplasm**, where translation (the actual synthesis of the protein) takes place. While the document doesn't explicitly name the ribosome, it states the mRNA migrates into the cytoplasm to be used for protein synthesis.

Final Answer: ['cytoplasm']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where is the protien made in the cell
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Richard Parker'],2937.716736," ['Richard Parker']

TITLE: Life of Pi | ID: 29",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the tigers name in life of pi
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,"['Geoffrey Dyson Palmer' 'Geoffrey Dyson Palmer, OBE']",2937.716736," ['Geoffrey Palmer']

Based on the document:
TITLE: Geoffrey Palmer (actor) | ID: 35
CONTENT: Geoffrey Dyson Palmer, OBE (born 4 June 1927) is an English actor known for his roles in British television sitcoms playing Jimmy Anderson in The Fall and Rise of Reginald Perrin (1976–79), Ben Parkinson in Butterflies (1978–83) and Lionel Hardcastle in As Time Goes By (1992–2005).",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played lionel in as time goes by
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['9 to 25 February 2018'],2937.716736,"2018 Winter Olympics in Pyeongchang, South Korea, from 9 to 25 February 2018

TITLE: Mexico at the 2018 Winter Olympics | ID: 6",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does mexico play in the winter olympics
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['CeCe Drake'],2937.716736," ['CeCe Drake', 'Alex Drake']

Based on the document **List of The 100 episodes** (ID: 14) and **A (Pretty Little Liars)** (ID: 83), the query asks about the ""head A"" in *Pretty Little Liars*.

Document ID: 83 states: ""The identity of the second 'A', Red Coat, and the leader of the 'A-Team' was revealed to be **CeCe Drake**... Then, in the Series Finale, 'A.D.' reveals themselves to be **Alex Drake**, the twin sister of Spencer.""

Therefore, the heads of ""A"" are CeCe Drake and Alex Drake.

Final Answer: ['CeCe Drake', 'Alex Drake']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is the head a in pretty little liars
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Grisha'],2937.716736," ['Grisha Alekandrovich Nikolaev']

Based on the document:
TITLE: G. Callen | ID: 23
CONTENT: ""G. Callen (born: Grisha Alekandrovich Nikolaev) is a fictional character in the show NCIS: Los Angeles portrayed by Chris O'Donnell.""

The ""G"" stands for **Grisha**.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what does g stand for in ncis los angeles
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Serous Membrane' 'the visceral membrane'],2937.716736," ['visceral membrane']

Based on the document **Serous membrane** (ID: 45), the inner layer of the serous membrane that covers organs (viscera) in body cavities, such as the stomach, is called the **visceral membrane**.

TITLE: Serous membrane | ID: 45",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the membrane on the surface of the stomach called
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,"['June 22, 1942']",2937.716736,"1932

Based on the document **The Star-Spangled Banner** (ID: 104), the National Anthem was first recognized by law in **1932**. While the document notes that there was no specific prescription for behavior at that time, it marks the year the anthem was legally recognized. Subsequent laws in 1942, 1942 (Dec), 1976, and 1998 revised the specific instructions for standing and saluting.

TITLE: The Star-Spangled Banner | ID: 104

Final Answer: ['1932']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did it become law to stand for the national anthem
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Phosphorus pentoxide'],2937.716736," ['Phosphorus pentoxide']

**Document Used:**
TITLE: Phosphorus pentoxide | ID: 12",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the name of the compound p4010
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['rubidium-85'],2937.716736," ['rubidium-85']

**Document Used:**
TITLE: Krypton-85 | ID: 53",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: krypton-85 decays by emission of a beta particle. the product of this decay is
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,"['""Nelson\'s Sparrow""' ""Nelson's Sparrow""]",2937.716736," ['Nelson\'s Sparrow']

Based on the document **Jason Gideon** (ID: 31), the text states: ""In the season ten episode 'Nelson's Sparrow', Gideon was murdered off-screen...""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: which episode does gideon die in criminal minds
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['Malayalam'],2937.716736," ['Malayalam']

**Document Used:**
TITLE: G. Sankara Kurup | ID: 67

**Reasoning:**
The document states that G. Sankara Kurup was the ""first winner of the Jnanpith Award"" and that he won the prize in 1965 for his collection of poems in **Malayalam** (*Odakkuzhal*). Therefore, the first Jnanpith award was given to an author of the Malayalam language.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first jnanpith award was an autor of which language
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
2.937716736,44826.0,['David Ben-Gurion'],2937.716736," ['David Ben-Gurion']

Based on the document:
TITLE: Israeli Declaration of Independence | ID: 98
CONTENT: ""As leader of the Yishuv, David Ben-Gurion was the first person to sign.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who was the first signatory of the israeli declaration of independence
",nq_32k,0.0,4.0,65.536,2937.716736,GB,256,test,Final Answer: ,61035.0,2.937716736
