answers,task,split,answer_prefix,compression_ratio,predicted_answer,retained_kv_memory_mb,uncompressed_kv_memory_gb,retained_context_tokens,uncompressed_kv_memory_mb,context_tokens,question,retained_kv_memory_gb,max_new_tokens,kv_memory_per_token_kb
"['Byeongsan Seowon' 'Dosan Seowon' 'Oksan Seowon' 'Seoak Seowon'
 'Sosu Seowon']",qampari_32k,test,Final Answer: ,0.0," ['Baekundong Seowon', 'Dosan Seowon', 'Oksan Seowon', 'Sosu Seowon', 'Seoak Seowon']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What are some of the notable seowons ?
",7.158693888,256,147.456
"[""2015 Wimbledon Championships – Boys' Singles""
 ""2016 Charlottesville Men's Pro Challenger – singles""
 '2018 BNP Paribas Primrose Bordeaux – singles'
 '2018 JSM Challenger of Champaign–Urbana – singles'
 '2018 Knoxville Challenger – singles']",qampari_32k,test,Final Answer: ,0.0," ['2015 King Cup Final', '2015 Saudi Super Cup', '2018 BNP Paribas Primrose Bordeaux', '2018 Kunming Open – Men\'s Doubles', '2018 St. Petersburg Open – Singles']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In which sports competition did Reilly Opelka emerge victorious?
",7.158693888,256,147.456
"['Christian Peter' 'Howard Barbieri' 'Jeff Kunkel' 'Knowshon Moreno'
 'Melanie McGuire']",qampari_32k,test,Final Answer: ,0.0," ['Knowshon Moreno', 'Melanie McGuire', 'Michael McHugh', 'William Deane', 'Rudolf Kolisch']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who graduated from Middletown High School South?
",7.158693888,256,147.456
"['2015 Città di Caltanissetta – singles'
 '2016 Open Città della Disfida – singles' '2016 Stockholm Open – doubles'
 '2017 Internationaux de Tennis de Vendée – singles'
 '2017 Internazionali di Tennis del Friuli Venezia Giulia – singles']",qampari_32k,test,Final Answer: ,0.0," ['2015 King Cup Final', '2015 Saudi Super Cup', '2016 King Cup Final', '2017–18 Saudi Professional League', '2018–19 Saudi Professional League']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition did Elias Ymer win?
",7.158693888,256,147.456
"['Antonio London' 'Bryan Morris' 'Dewon Brazelton' 'Dustin Lynch'
 'Jordan Sheffield']",qampari_32k,test,Final Answer: ,0.0," ['Dewon Brazelton', 'Jordan Sheffield', 'Knowshon Moreno', 'Melanie McGuire', 'Mick Walker', 'Dustin Lynch', 'Connor Walsh', 'Bryan Morris', 'Dewon Brazelton', 'Jordan Sheffield', 'Knowshon Moreno', 'Melanie McGuire', 'Mick Walker', 'Dustin Lynch', 'Connor Walsh', 'Bryan Morris']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who are Tullahoma High School alumni?
",7.158693888,256,147.456
"['Conditional release' 'Ghost' 'The Bright Day' 'The Sale'
 'The Traces of Light']",qampari_32k,test,Final Answer: ,0.0," ['The Bright Day', 'The Sale', 'The Secret History of Vampires', 'The Five Chinese Brothers', 'The Story About Ping']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: For which motion picture was Hossein Shahabi responsible for production?
",7.158693888,256,147.456
['Ego Ferguson' 'Jerry Janes' 'Ron Rivera' 'Roquan Smith' 'Will Sutton'],qampari_32k,test,Final Answer: ,0.0, ['Chicago Bears'],7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What lineback was drafted by the Chicago Bears?
",7.158693888,256,147.456
['Amy Fote' 'Connor Walsh' 'Jun Shuang Huang' 'Simon Ball' 'Stanton Welch'],qampari_32k,test,Final Answer: ,0.0," ['Connor Walsh', 'Stanton Welch']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who is employed by the Houston Ballet?
",7.158693888,256,147.456
"['After the Rain' ""Alice's Adventures in Wonderland""
 'An American in Paris' 'Carousel' 'Liturgy']",qampari_32k,test,Final Answer: ,0.0," ['Carousel (A Dance)', 'An American in Paris', 'After the Rain']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which ballet features dances were choreographed by Christopher Wheeldon?
",7.158693888,256,147.456
"['Asterix and Cleopatra' ""Asterix and the Chieftain's Shield""
 'Asterix and the Great Crossing' 'Asterix in Belgium' 'Obelix and Co.']",qampari_32k,test,Final Answer: ,0.0," ['Asterix and the Chieftain's Shield', 'Asterix and Cleopatra', 'Asterix and the Great Crossing', 'Obelix and Co.', 'Asterix in Belgium']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Albert Uderzo illustrated what comic?
",7.158693888,256,147.456
"['Battle Creek' 'Better Call Saul' 'Breaking Bad' 'The Lone Gunmen'
 'The X-Files']",qampari_32k,test,Final Answer: ,0.0," ['Breaking Bad', 'Better Call Saul', 'The Lone Gunmen', 'Battle Creek']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Vince Gilligan was the executive producer of what television program?
",7.158693888,256,147.456
"['MS European Seaway' 'MS Pride of Burgundy' 'MS Pride of Calais'
 'MS Pride of Dover' 'MS Spirit of France']",qampari_32k,test,Final Answer: ,0.0," ['MS Spirit of France', 'MS Pride of Calais', 'MS Pride of Dover', 'MS European Seaway', 'MS Pride of Burgundy']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which vessels had a home port of Dover?
",7.158693888,256,147.456
['argon' 'helium' 'krypton' 'neon' 'xenon'],qampari_32k,test,Final Answer: ,0.0," ['Krypton', 'Neon', 'Xenon', 'Argon']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What did WIlliam Ramsey discover?
",7.158693888,256,147.456
"['Detention River Christian Community' 'Elmendorf Christian Community'
 'Milltown Hutterite Colony' 'Owa Hutterite Colony' 'Schmiedeleut']",qampari_32k,test,Final Answer: ,0.0," ['Elmendorf Christian Community', 'Milltown Hutterite Colony', 'Schmiedeleut', 'Owa Hutterite Colony', 'Detention River Christian Community']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What group or person identifies itself as Hutterite?
",7.158693888,256,147.456
"[""2008 Pilot Pen Tennis – Men's Singles"" '2009 Chennai Open – singles'
 '2010 Aircel Chennai Open – singles' '2010 PBZ Zagreb Indoors – singles'
 '2011 St. Petersburg Open – singles']",qampari_32k,test,Final Answer: ,0.0," ['2009 Chennai Open – Singles', '2010 Aircel Chennai Open – Singles', '2011 St. Petersburg Open – Singles']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Marin Čilić was the victor of which competition?
",7.158693888,256,147.456
"['Agys Ramsaran Verma' 'Lokendra Singh' 'Mithlesh Kumar'
 'Mukund Lal Agrawal' 'Virendra Singh']",qampari_32k,test,Final Answer: ,0.0," ['Mukund Lal Agrawal', 'Mithlesh Kumar', 'Lokendra Singh', 'Virendra Singh', 'Agys Ramsaran Verma']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who is a former student from Bareilly College?
",7.158693888,256,147.456
['Breakfast' 'Rush TV' 'Us Girls' 'Wazzup Wazzup' 'Y Speak'],qampari_32k,test,Final Answer: ,0.0," ['Breakfast', 'Beached Az', 'Twentysomething', 'Us Girls', 'Wazzup Wazzup']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What TV show originally was broadcast by Studio 23?
",7.158693888,256,147.456
"['Edward Kennion' 'Eleanor Coade' 'Theodora Cowan' 'William Pether'
 'William Wynne Ryland']",qampari_32k,test,Final Answer: ,0.0," ['Eleanor Coade', 'Edward Kennion', 'William Pether', 'William Wynne Ryland', 'William Deane']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The Society of Artists has which person as a member?
",7.158693888,256,147.456
['Nirel' 'Oriyardori Asal' 'Rang' 'Sompa' 'Suddha'],qampari_32k,test,Final Answer: ,0.0, ['Suddha'],7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie originally had dialogue spoken in Tulu?
",7.158693888,256,147.456
"['1998 Asian Super Cup' '2015 King Cup Final' '2015 Saudi Super Cup'
 '2016 King Cup Final' '2017–18 Saudi Professional League']",qampari_32k,test,Final Answer: ,0.0," ['2015 Saudi Super Cup', '2015 King Cup', '2016 King Cup', '2017–18 Saudi Professional League', '2018 St. Petersburg Open']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which contests did Al-Nassr take part in?
",7.158693888,256,147.456
['Bobby Hope' 'Harold Bodle' 'John Barton' 'Kevin Poole' 'Mick Walker'],qampari_32k,test,Final Answer: ,0.0," ['Harold Bodle', 'John Barton', 'Howard Barbieri', 'Michael McHugh', 'Mick Walker']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What person was in charge of Burton Albion F.C.?
",7.158693888,256,147.456
"['Coppélia' 'La Vivandière or Markitenka' 'La source' 'Pâquerette'
 'The Little Humpbacked Horse']",qampari_32k,test,Final Answer: ,0.0," ['Bambi, A Life in the Woods', 'The Hound of Florence', 'The Little Humpbacked Horse', 'Coppélia', 'An American in Paris']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Arthur Saint-Léon choreographed what kind of dance?
",7.158693888,256,147.456
['Amdo Tibetan' 'Central Tibetan' 'Khams Tibetan' 'Ladakhi' 'Tibetan'],qampari_32k,test,Final Answer: ,0.0, ['Tibetan'],7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which language is native to Tibet?
",7.158693888,256,147.456
['Auguste Piccard' 'Ben Franklin' 'F.-A. Forel' 'Goliath' 'Titan'],qampari_32k,test,Final Answer: ,0.0," ['Giovanola produced Goliath, the hypercoaster at Six Flags Magic Mountain; the Yaquina Bay Bridge, an arch bridge in Oregon; the Conde B. McCullough Memorial Bridge, a cantilever bridge in Oregon; the Big Creek Bridge, a bowstring arch bridge in Oregon; the Wilson River Bridge, a bridge near Tillamook, Oregon; the Ten Mile Creek Bridge, a bridge near Yachats, Oregon; and the MS Spirit of France,",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What items did Giovanola produce?
",7.158693888,256,147.456
"['Adam Wakeman' 'Geoff Nicholls' 'Neil Murray' 'Tony Martin'
 'Vinny Appice']",qampari_32k,test,Final Answer: ,0.0," ['Tony Martin', 'Neil Murray', 'Adam Wakeman', 'Geoff Nicholls', 'Raghu Kumar']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Black Sabbath had who as a member?
",7.158693888,256,147.456
"['633 Squadron' 'The Great Escape' 'The Satan Bug' 'To Sir, with Love'
 'Walk Like a Dragon']",qampari_32k,test,Final Answer: ,0.0," ['The Great Escape', '633 Squadron', 'To Sir, with Love', 'The Satan Bug', 'Walk Like a Dragon']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: James Clavell was screenwriter for what movie?
",7.158693888,256,147.456
"['Bad Astronaut' ""Joey Cape's Bad Loud"" 'Lagwagon'
 'Me First and the Gimme Gimmes' 'The Playing Favorites']",qampari_32k,test,Final Answer: ,0.0," ['Gorilla Biscuits', 'Quicksand', 'Rival Schools', 'Dead Heavens', 'Walking Concert']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Joey Cape is part of what musical group?
",7.158693888,256,147.456
"['Blaine Island' 'Magic Island' 'Scotts Island' 'Tyler Island'
 'Wilson Island (West Virginia)']",qampari_32k,test,Final Answer: ,0.0, ['Kanawha County'],7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What geographic entity is next to Kanawha River?
",7.158693888,256,147.456
"['Arthur Mann' 'George Kerr' 'Jimmy Cringan' ""Ray O'Brien"" 'Rob Scott']",qampari_32k,test,Final Answer: ,0.0," ['Rob Scott', 'Arthur Mann', 'John Barton', 'Mick Walker', 'Kevin Poole']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who was the coach of Boston United FC?
",7.158693888,256,147.456
"['Death Stalks the Night' 'Sleep No More' 'Three Tales of Horror'
 'Who Knocks?' 'Worse Things Waiting']",qampari_32k,test,Final Answer: ,0.0," ['The Little Humpbacked Horse', 'Sleep No More', 'Who Knocks?', 'Three Tales of Horror', 'Worse Things Waiting']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What piece of literature featured illustrations by Lee Brown Coye?
",7.158693888,256,147.456
"['Black Thorn, White Rose' 'Ruby Slippers, Golden Tears'
 'Salon Fantastique' 'Snow White, Blood Red'
 ""Year's Best Fantasy and Horror""]",qampari_32k,test,Final Answer: ,0.0," ['Salon Fantastique', 'The Bright Day', 'Year's Best Fantasy and Horror']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which work of literature did Terri Windling edit?
",7.158693888,256,147.456
['Central Ojibwa' 'Eastern Ojibwa' 'Mohawk' 'Northwestern Ojibwa' 'Oneida'],qampari_32k,test,Final Answer: ,0.0, ['Ojibwa'],7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is Ontario's native language ?
",7.158693888,256,147.456
['Aneroid Lake' 'Bonny Lakes' 'Dollar Lake' 'Legore Lake' 'Roger Lake'],qampari_32k,test,Final Answer: ,0.0," ['Bonny Lakes', 'Dollar Lake', 'LeGore Lake', 'Aneroid Lake', 'Roger Lake']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which landform is located in the protected area Eagle Cap Wilderness?
",7.158693888,256,147.456
"['A Girl Worth Fighting For' 'Beautiful Disaster' 'Break My Stride'
 'Honor to Us All' 'Mulan' 'Reflection']",qampari_32k,test,Final Answer: ,0.0," ['Break My Stride', 'Reflection', 'Beautiful Disaster', 'A Girl Worth Fighting For', 'Honor to Us All']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What tracks did Matthew Wilder compose?
",7.158693888,256,147.456
"['Frank Kitto' 'John Toohey' 'Michael McHugh' 'Patrick Keane'
 'William Deane']",qampari_32k,test,Final Answer: ,0.0," ['Michael McHugh', 'John Leslie Toohey', 'Patrick Anthony Keane', 'Frank Kitto', 'William Patrick Deane']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who served on the High Court of Australia as a Justice?
",7.158693888,256,147.456
['Dan Panosian' 'Jim Zub' 'Marc Silvestri' 'Riley Rossmo' 'Sam Liu'],qampari_32k,test,Final Answer: ,0.0," ['Marc Silvestri', 'Jim Zub', 'Riley Rossmo', 'Dan Panosian', 'Marc Silvestri']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who is employed by Image Comics?
",7.158693888,256,147.456
"['Aattakatha' 'Onnum Mindatha Bharya' 'Paavam Poornima'
 'Thakilu Kottampuram' 'Visa']",qampari_32k,test,Final Answer: ,0.0," ['The Producers', 'The Five Chinese Brothers', 'The Story About Ping', 'Aattakatha', 'Oriyardori Asal', 'Suddha', 'Sompa', 'Nirel', 'Rang', 'The Blue Mountains Times', 'The Blue Mountains Advertiser', 'The Blackheath Bulletin', 'The Blue Mountain Echo', 'The Mountaineer (Katoomba)']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What movie did Balu Kiriyath screenwrite for?
",7.158693888,256,147.456
"['Adam and Eve' 'Column X' 'Peter the Mariner'
 ""We'll Meet Again in the Heimat"" 'You Walk So Softly']",qampari_32k,test,Final Answer: ,0.0, ['The Little Humpbacked Horse (ballet)'],7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of the film produced by Reinhold Schünzel?
",7.158693888,256,147.456
['Aung San Suu Kyi' 'Bamar' 'Min Aung Hlaing' 'Saw Wai' 'Win Tin'],qampari_32k,test,Final Answer: ,0.0," ['Aung San Suu Kyi', 'Min Aung Hlaing', 'Saw Wai', 'Win Tin']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who was a native speaker of Burmese?
",7.158693888,256,147.456
"['Anthony Lombard' 'Joshua Hassan' 'Julio Alcantara' 'Olga Zammitt'
 'Solomon Levy']",qampari_32k,test,Final Answer: ,0.0," ['Anthony Lombard', 'Olga Zammitt', 'Solomon Levy', 'Julio Alcantara']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: List all the Mayors of Gibraltar?
",7.158693888,256,147.456
"['Aled Jones' 'Gethin Jones' 'Helen Carnell' 'John Stapleton'
 'Laura Tobin']",qampari_32k,test,Final Answer: ,0.0," ['Neil Murray', 'Tony Martin', 'Adam Wakeman', 'Geoff Nicholls', 'Marc Silvestri']",7158.693888,7.158693888,48548.0,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What journalist is featured on the show ITV breakfast?
",7.158693888,256,147.456
