question,answers,retained_kv_memory_mb,uncompressed_kv_memory_gb,task,retained_context_tokens,compression_ratio,split,answer_prefix,max_new_tokens,retained_kv_memory_gb,uncompressed_kv_memory_mb,context_tokens,predicted_answer,kv_memory_per_token_kb
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels about families set in Boston and New England.
",['A Case of Need'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Scarlet Letter', 'The History of Sir Charles Grandison', 'The Lives of Animals', 'The Story Without a Name (novel)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2009 Indian, or by Chetan Bhagat, novels
","['Five Point Someone' 'One Night @ the Call Center'
 'The 3 Mistakes of My Life']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The 3 Mistakes of My Life', 'One Night @ the Call Center', 'Mac & Devin Go to High School']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what are some Hungarian Revolution of 1956 or Austrian war films
",['Duel with Death' 'Fly Away Home (2016 film)' 'Sunshine (1999 film)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Village of No Return', 'The Violent Bear It Away', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Finnish television and animated films
","['Moomins and the Comet Chase' 'Quest for a Heart'
 'Santa Claus and the Magic Drum']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Gate to Women's Country', 'The Violent Bear It Away', 'The Veteran', 'The Violent Bear It Away', 'The Gate to Women's Country', 'The Veteran', 'The Violent Bear It Away', 'The Gate to Women's Country', 'The Violent Bear It Away', 'The Veteran', 'The Violent Bear It Away', 'The Gate to Women's Country', 'The Violent Bear It Away', 'The Veteran', 'The Violent",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Hispanic and Latino American novels set anywhere besides North America
",['At Night We Walk in Circles' 'La reina de América' 'Lost City Radio'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Wandering Hill', 'The Abandoned', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The Last Winter', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Swiss Films about stalking
",['One Way Trip 3D'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Violent Bear It Away', 'The Two Captains']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s supernatural children's animated films
","['Lego Scooby-Doo! Blowout Beach Bash'
 'Scooby-Doo! and the Curse of the 13th Ghost' 'The Magic Snowflake']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Adventures of Peregrine Pickle', 'The Magician\'s Nephew', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Viol",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1971 British thriller novels
",['Firecrest (novel)' 'Lament for Leto'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Wandering Hill', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Critical Jehovah's Witness books.
",['Crisis of Conscience'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['Crisis of Conscience', 'The Life of Verdi', 'The Scepter of Judah', 'The Lives of Animals', 'The God that Failed']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what are some Novels set in Jiangsu, 1750s, or Novels by Charlotte Lennox?
","['Demi-Gods and Semi-Devils' 'The Adventures of Peregrine Pickle'
 'The History of Sir Charles Grandison']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The History of Sir Charles Grandison', 'The History of Sir Charles Grandison']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gene DeWeese novels
",['Chain of Attack' 'The Final Nexus' 'The Peacekeepers'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['Chain of Attack', 'The Final Nexus']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980s political films about science and the United States Armed Forces
",['Best Defense' 'Red Dawn'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Veteran (2011 film)', 'The God that Failed', 'The Final Nexus', 'The League of Extraordinary Gentlemen (film)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s speculative fiction novels about Washington (state) and the United States.
",['Seveneves'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Wandering Hill', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Jungle Bunch', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Viol",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Cebu films
","['Alega Gang: Public Enemy No.1 of Cebu' 'Lapu-Lapu (2002 film)'
 'Patay na si Hesus']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['Alega Gang: Public Enemy No.1 of Cebu', 'Mac & Devin Go to High School', 'Patay na si Hesus']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Crime novels set in Japan
",['All She Was Worth' 'Crossfire (novel)' 'Out (novel)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The God that Failed', 'The Violent Bear It Away', 'The God that Failed', 'The Making of the Representative for Planet 8']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990's historical films about security and surveillance that are set in England
",['Elizabeth (film)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Violent Bear It Away', 'The Copper', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Copper', 'The History of Sir Charles Grandison']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1890s historical books and novels published by Harper & Brothers
",['Personal Recollections of Joan of Arc'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Scarlet Letter', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Lives of Animals', 'The God that Failed', 'The Lives of Animals', 'The Violent Bear It Away', 'The God that Failed', 'The History of Sir Charles Grandison', 'The Scarlet Letter']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2021 films about action and comedy.
","[""Hitman's Wife's Bodyguard"" 'Red Notice (film)' ""The King's Man""]",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Last Winter', 'The Village of No Return', 'The King and the Clown', 'The Phantom', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: History/Adventure books about France from 1933
",['The Way of the Scarlet Pimpernel'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Adventures of Peregrine Pickle', 'The Firebird Rocket', 'The Scarlet Letter', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', '",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on works by Bill Finger that are any genre except Animated action films
",['Batman & Bill' 'Batman & Robin (film)' 'Batman (serial)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Adventures of Peregrine Pickle', 'The Final Nexus', 'The Killing Joke', 'The Secret Man', 'The Scarlet Letter', 'The Two Captains']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on works by Alan Moore or Wildstorm titles, or that are Czech superhero films
","['Batman: The Killing Joke (film)' 'Pérák: The Shadow over Prague'
 'The League of Extraordinary Gentlemen (film)']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['Batman: The Killing Joke', 'The League of Extraordinary Gentlemen', 'The Adventures of Jinbao', 'Pérák: The Shadow over Prague']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Crime novels that are both American crime novels and 1932 novels
",['Poison in Jest' 'The Waxworks Murder'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Fire Devil', 'The Violent Bear It Away', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Debut novels released in 1953.
","['Battle Cry (Uris novel)' 'Go Tell It on the Mountain (novel)'
 'Junkie (novel)']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Scarlet Letter', 'The Lives of Animals', 'The God that Failed']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Penal system documentary films that are not about law enforcement in the United States
",['P4W: Prison for Women' 'The Phantom (2021 film)' 'Waseskun'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Assassination of Richard Nixon', 'The Village of No Return', 'The Public Image', 'The God that Failed', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Last Winter', 'The Last Mistress', 'The Last Winter', 'The Last Mistress', 'The Last Winter', 'The Last Mistress', 'The Last Winter', 'The Last Mistress', 'The Last Winter', 'The Last Mistress', 'The Last Winter', 'The",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1984 Fantasy novels about the United Kingdom
",['Mythago Wood' 'Nights at the Circus'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The History of Sir Charles Grandison', 'The Magician's Nephew', 'The Two Captains', 'The Violent Bear It Away', 'The Wandering Hill']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels published by Hutchinson about film director and producers
",['Laughing Gas (novel)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The God that Failed']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: American medical novels set in the 1940's
",['Hannibal Rising' 'Jewel (novel)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Violent Bear It Away', 'The Drowning Girl', 'The Scarlet Letter', 'The History of Sir Charles Grandison', 'The Two Captains', 'The Violent Bear It Away', 'The Drowning Girl', 'The Scarlet Letter', 'The History of Sir Charles Grandison', 'The Two Captains']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Canadian documentaries about homelessness and LGBT
",['Ryan (film)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Abandoned', 'The Village of No Return', 'The Final Nexus', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films set in Italy that are 1982 television films
","['Cavalleria rusticana (1982 film)' 'The Deadly Game (1982 film)'
 'The Life of Verdi (miniseries)']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Making of the Representative for Planet 8', 'The Violent Bear It Away', 'The Two Captains']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Animated non-children films set in New York (state)
",['Hulk: Where Monsters Dwell' 'Resident Evil: Vendetta'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Village of No Return', 'The Violent Bear It Away', 'The God that Failed', 'The Life of Verdi', 'The Violent Bear It Away', 'The God that Failed', 'The Life of Verdi']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: mystery drama films that are Chinese
",['A Lingering Face' 'Looking Up (film)' 'Ni Jing: Thou Shalt Not Steal'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Wandering Hill', 'The Village of No Return', 'The Abandoned', 'The Violent Bear It Away', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: exploitation films from the 1940s
","['Child Bride' 'I Accuse My Parents' ""The Devil's Sleep""]",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['I Accuse My Parents', 'Self Defense', 'The Violent Bear It Away', 'The Drowning Girl', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Viol",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Erico Verissimo works adapted into films
",['Time and the Wind'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Gate to Women's Country', 'Those Days', 'The Life of Verdi', 'The Legend of Johnny Lingo', 'The Two Captains', 'The Violent Bear It Away', 'The Wandering Hill', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Contemporary fantasy romance novels, that aren't Urban fantasy
",['Midnight Sun (Meyer novel)' 'New Moon (novel)' 'Twilight (Meyer novel)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Adventures of Peregrine Pickle', 'The Scarlet Letter', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Young adult novels set in Oceania that are not Australian or for children
",['Boy at War' 'The Changeover' 'The Firebird Rocket'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Wandering Hill', 'The Two Captains', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2012 comedy films that are also about social issues in the United States.
",['Killing Them Softly' 'Mac & Devin Go to High School'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Drowning Girl', 'Mac & Devin Go to High School', 'The Village of No Return']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Iranian novels or books by Sadegh Hedayat
",['My Uncle Napoleon' 'Savushun' 'The Blind Owl'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Blind Owl', 'The Bewitched', 'The Scarlet Letter']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Propaganda films that are epic and based on actual events.
",['Doctor Zhivago (film)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Last Winter', 'The Assassination of Richard Nixon', 'The Gate to Women's Country', 'The Veteran', 'The Secret Man', 'The Two Captains', 'The Violent Bear It Away', 'The Last Winter', 'The Veteran', 'The Secret Man', 'The Two Captains', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1960 Catholic fiction books
",['The Picturegoers' 'The Violent Bear It Away'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Scarlet Letter', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: NBC network original films about ideologies that are set in outer space.
",['Undercover with the KKK'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Making of the Representative for Planet 8', 'The Life of Verdi', 'The Scepter of Judah']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1930 non american crime films
","['An Obvious Situation' ""That Night's Wife"" 'The Copper (1930 film)']",17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Copper', 'The Violent Bear It Away', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s legal mystery drama films
",['Ace Attorney (film)' 'True Story (film)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,test,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Violent Bear It Away', 'The God that Failed', 'The Lives of Animals', 'The Violent Bear It Away', 'The God that Failed', 'The Lives of Animals']",147.456
