kv_memory_per_token_kb,uncompressed_kv_memory_mb,answers,compression_ratio,retained_kv_memory_gb,retained_kv_memory_mb,context_tokens,task,max_new_tokens,predicted_answer,split,question,answer_prefix,retained_context_tokens,uncompressed_kv_memory_gb
147.456,6546.898944,['The Way of the Scarlet Pimpernel'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: History/Adventure books about France from 1933
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Poison in Jest' 'The Waxworks Murder'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['The Waxworks Murder', 'Poison In Jest']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Crime novels that are both American crime novels and 1932 novels
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['P4W: Prison for Women' 'The Phantom (2021 film)' 'Waseskun'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['P4W: Prison for Women', 'Waseskun']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Penal system documentary films that are not about law enforcement in the United States
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Mythago Wood' 'Nights at the Circus'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1984 Fantasy novels about the United Kingdom
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Laughing Gas (novel)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels published by Hutchinson about film director and producers
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Ryan (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Canadian documentaries about homelessness and LGBT
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['Cavalleria rusticana (1982 film)' 'The Deadly Game (1982 film)'
 'The Life of Verdi (miniseries)']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films set in Italy that are 1982 television films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Time and the Wind'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['Time and the Wind'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Erico Verissimo works adapted into films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Boy at War' 'The Changeover' 'The Firebird Rocket'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Young adult novels set in Oceania that are not Australian or for children
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['My Uncle Napoleon' 'Savushun' 'The Blind Owl'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['The Blind Owl'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Iranian novels or books by Sadegh Hedayat
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Doctor Zhivago (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Propaganda films that are epic and based on actual events.
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['The Picturegoers' 'The Violent Bear It Away'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['The Picturegoers'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1960 Catholic fiction books
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Undercover with the KKK'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: NBC network original films about ideologies that are set in outer space.
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['An Obvious Situation' ""That Night's Wife"" 'The Copper (1930 film)']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['The Copper (1930 film)', 'That Night's Wife']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1930 non american crime films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Ace Attorney (film)' 'True Story (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s legal mystery drama films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['First Invasion: The War of 1812' 'Last of the Buccaneers'
 'Mohawk (2017 film)']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Andrew Jackson films or films about the War or 1812
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Going Vertical' 'Prefontaine (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films about sportspeople set in 1972
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['We the Living'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1936 Alternate history novels and books based in Asia
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Circe (novel)' 'Julian (novel)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Books about social psychology set in the Middle Ages that are Hachette Book Group books
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['A.P.E.X.'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['A.P.E.X.'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films set in the year 2073
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['The Lighthouse at the End of the World'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: French novels made in 1905.
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['Anchorman: The Legend of Ron Burgundy'
 'The Assassination of Richard Nixon']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2004 films that are set in 1974
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Demoni (2012 film)' 'Dragon Rider (film)' 'Felix the Cat: The Movie'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Bulgarian animated films or Polish or Belgian animated fantasy films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['All Quiet on the Western Front'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels adapted into radio programs that are set during WWI
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Little Otik' 'Nails (2003 film)' 'Princess Goldilocks'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['One Way Trip 3D', 'The Two Captains', 'Princess Goldilocks', 'Little Otik', 'The Girl on the Stairs', 'Nails (2003 film)']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror drama films from the 2000s or Karel Jaromír Erben films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Anandamath' 'Durgeshnandini' 'Those Days (novel)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['Anandamath', 'Durgeshnandini', 'Those Days']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Bengali written Indian historical novels
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Victory at Entebbe'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1970s television films set in Palestine about terrorism
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['The Boys from Brazil (novel)' 'The Portage to San Cristobal of A.H.'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: fictional WWII novels about antisemitisim.
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Hild (novel)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['Hild (novel)'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: English books published by Farrar Straus and Giroux
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Taking Sides (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Europe that are Austrian drama films and English language French films.
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['The Samovar Girl' 'The Two Captains'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['In the Sargasso Sea', 'The Portage to San Cristobal of A.H.', 'The Two Captains', 'The Samovar Girl', 'Anandamath', 'Durgeshnandini', 'The Lives of Animals']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels set in Russia and the Arctic about war and conflict
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Illywhacker' 'Star Healer' 'The Hounds of the Morrigan'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: English-language novels that are 1985 speculative fiction but not American 1985 novels
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"[""A Queen's Ransom""]",0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Historical Chinese martial arts films about terrorism
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Game Over (2013 film)' 'The Poot' 'Two & Two (2011 film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Iranian and Asian short films from 2010's
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['It Happened in Boston?' 'The Public Image'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1968 art novels
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['To the Finland Station'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['To the Finland Station'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: books about socialism and the french revolution
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Hotel Transylvania (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: American Science fiction children's comedy films set in castles.
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['Chronicle of Malaysia' 'Korea: A Walk Through the Land of Miracles'
 'Treason by the Book']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['Chronicle of Malaysia', 'Treason by the Book']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: History books about Malaysia or the Qing dynasty or about South Korea
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Ferrara Bible' 'Observations (Belon book)' 'Scepter of Judah'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1534 books or 1553 books
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['3 Bahadur: The Revenge of Baba Balaam' 'Aerials (film)'
 'The Glassworker']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['Aerials (film)'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what are some Emirati multilingual or Pakistani animated films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Tamburlaine Must Die' 'The Girl on the Stairs'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['Tamburlaine Must Die', 'The Girl on the Stairs']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: novels written by by Louise Welsh
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['The Last Chance (1945 film)' 'The Sun (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: WWII films that are Swiss
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['In the Sargasso Sea' 'Rupert of Hentzau'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, ['In the Sargasso Sea'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1898 English-language books that are also about adventure
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Jongens'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Dutch coming-of-age or Dutch erotic or erotic thriller films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"[""The Gate to Women's Country"" 'Zodiac (novel)']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1988 fiction environmental books
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['Demoni (2012 film)' 'The Two Who Stole the Moon'
 'The Young Magician (film)']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256," ['Demoni (2012 film)', 'The Young Magician (film)']",test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what are  some Bulgarian animated, or Polish children's films
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Hotel Clausewitz' 'Scorpions and Miniskirts' 'Tunis Top Secret'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: German spy comedy films, or 2000s comedy-drama mystery films.
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['The Drowning Girl'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: American LGBT novels set in New England and that are also Speculative fiction novels
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,['Look for a Woman' 'The Master of Taiga' 'Visit to Minotaur (film)'],0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Soviet crime films that arent russian made
",Final Answer: ,44399.0,6.546898944
147.456,6546.898944,"['The Final Reflection' 'The Trellisane Confrontation'
 'The Vulcan Academy Murders']",0.0,6.546898944,6546.898944,44399.0,quest_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1984 Science fiction Space opera novel series
",Final Answer: ,44399.0,6.546898944
