context_tokens,memory_budget_unit,uncompressed_kv_memory_mb,predicted_answer,answers,compression_ratio,kv_memory_per_token_kb,uncompressed_kv_memory_gb,answer_prefix,max_new_tokens,token_budget,memory_budget,retained_context_tokens,retained_kv_memory_gb,task,split,question,retained_kv_memory_mb
44955.0,MB,6628.88448," ['The 1994-1995 Season', 'The 1995-1996 Season', 'The 1996-1997 Season', 'The 1997-1998 Season', 'The 1998-1999 Season', 'The 1999-2000 Season', 'The 2000-2001 Season', 'The",['the following day'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does monday night raw come on hulu
",255.983616
44955.0,MB,6628.88448," ['Physical properties of Puerto Rico', '1']  
Answer:  
- Puerto Rico belonged to Spain before it was associated with the United States.",['Spain' 'Taíno' 'indigenous Taíno people'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who did puerto rico belong to before the u.s
",255.983616
44955.0,MB,6628.88448," ['Glee (season 4)', '4']  
['Glee (season 4) was released in 2010. The season premiered on September 22, 2010, and concluded on May 20, 2011.']","['September 13, 2012']",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did season 4 of glee come out
",255.983616
44955.0,MB,6628.88448," ['Physical properties of the bald eagle', 'Physical properties of the bald eagle']  
The genus of a bald eagle is **Haliaeetus**.",['Haliaeetus'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the genus of a bald eagle
",255.983616
44955.0,MB,6628.88448," ['The 100', '1']  
Answer: Boomer finds out she is a Cylon during the episode ""The 100"" (ID: 1).","[""Kobol's Last Gleaming""]",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does boomer find out she a cylon
",255.983616
44955.0,MB,6628.88448," ['The Lion King', 'The Lion King']  
Answer: The female lion in The Lion King is called a ""lioness.""",['Nala'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the female lion called in lion king
",255.983616
44955.0,MB,6628.88448," ['Over the Garden Wall', '12']  
Answer: The Woodsman in ""Over the Garden Wall"" is played by **Gregory Smith**.",['Christopher Lloyd'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays the woodsman in over the garden wall
",255.983616
44955.0,MB,6628.88448," ['The first Christmas tree was introduced to the UK by a German immigrant named John Gualter (or Gualter), who was a merchant and later became a mayor in the 16th century.']

Answer:  
- The first Christmas tree was introduced to the UK by a German immigrant named John Gualter (or Gualter), who was a merchant and later became a mayor in the 16th century.",['Charlotte of Mecklenburg-Strelitz'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who introduced the first chrismas tree to the uk
",255.983616
44955.0,MB,6628.88448," ['101 Dalmatians (2000 film)', '101 Dalmatians (2000 film)']

**Answer:**
- The role of Cruella de Vil in *101 Dalmatians* was played by Glenn Close.",['Glenn Close'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played cruella de vil in 101 dalmatians
",255.983616
44955.0,MB,6628.88448," ['I Wanna Be Sedated', 'I Wanna Be Sedated']  
Answer:  
- The song ""I Wanna Be Sedated"" was sung by The Stone Roses.",['the Ramones'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sang the song i wanna be sedated
",255.983616
44955.0,MB,6628.88448," ['American Football', '1']  
['American Football', '1']  
**Answer:**  
- The number of players on the line of scrimmage in American football is typically 11.",['at least seven' 'at least seven players' 'seven'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: how many players on the line of scrimmage in american football
",255.983616
44955.0,MB,6628.88448," ['The Waltons', '1']  
The TV show ""The Waltons"" first aired in 1972.",['September 1972'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did the tv show the waltons first air
",255.983616
44955.0,MB,6628.88448," ['Once Upon a Time', '1']  
['Emma is dating Killian in ""Once Upon a Time""']",['Hook'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is emma dating in once upon a time
",255.983616
44955.0,MB,6628.88448," ['The Last Time the Giants Won the Super Bowl', '1']  
The last time the New York Giants won the Super Bowl was in the 2011 season (Super Bowl XLVI).",['2011'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the last time giants won superbowl
",255.983616
44955.0,MB,6628.88448," ['Title: 49th Annual Report of the American Red Cross', 'Title: 1940s', 'Title: 1940s', 'Title: 1940s', 'Title: 1940s', 'Title: 1940s', 'Title: 1940s', 'Title: 1940s', 'Title: 1940s', 'Title: 1",['the summit of Cadillac Mountain'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does the sun hit the us first
",255.983616
44955.0,MB,6628.88448," ['MCA', '18']  
The authority or governing body of MCA is the **Chinese Ministry of Commerce**.",['Indian government'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is the authority or governing body of mca
",255.983616
44955.0,MB,6628.88448," ['3', '1']

- Prime rib comes from the primal rib section of the cow, which is located on the upper part of the animal, running from the neck to the lower part of the spine. This section is known for its marbling and tenderness.",['the primal rib'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does prime rib come from on a cow
",255.983616
44955.0,MB,6628.88448," ['The Joker', '7th Central Pay Commission']  
Answer:  
- The Joker is played by Heath Ledger in *Batman The Dark Knight*.",['Ledger'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays joker in batman the dark knight
",255.983616
44955.0,MB,6628.88448," ['Common Name for Gravitational Force', '1']  
['Gravitational force is commonly referred to as ""weight"" in everyday language, though this term is more specific to the force experienced by an object due to gravity on Earth. In physics, the term ""gravitational force"" is used more generally to describe the attractive force between masses.']","['Gravity' 'Gravity, or gravitation']",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the common name for gravitational force
",255.983616
44955.0,MB,6628.88448," ['Faster', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious 7', 'Fast and Furious ",['The Lykan Hypersport'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: fast and furious 7 red car abu dhabi
",255.983616
44955.0,MB,6628.88448," ['Hawaii Five-O', '1']  
Answer: The original Steve McGarrett on Hawaii Five-O was played by Elvis Presley.",['Jack Lord' 'John Joseph Patrick Ryan'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played the original steve mcgarrett on hawaii five-o
",255.983616
44955.0,MB,6628.88448," ['3', '103']

**Answer:**
- Aluminium is a non-ferrous metal.",['non-ferrous'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: is aluminium a ferrous or non ferrous metal
",255.983616
44955.0,MB,6628.88448," ['The Lord of the Rings', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Return of the King']  
Answer:  
- The Lord of the Rings  
- The Lord of the Rings: The Fellowship of the Ring  
- The Lord of the Rings: The Return of the King",['Sauron'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who has a ring of power in lotr
",255.983616
44955.0,MB,6628.88448," ['Era of the Great Mughals', '1']  
The era of the Great Mughals began with the accession of Babur, who founded the Mughal Empire in 1526.",['Akbar the Great' 'Babur'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: the era of the great mughals began with the accession of
",255.983616
44955.0,MB,6628.88448," ['Hyderabad State (1948–56)', '1']  
['Hyderabad State (1948–56)']  
The Hyderabad State became a part of India in 1948 after the integration of the princely state into the Indian Union.",['24 November 1949'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did hyderabad became a part of india
",255.983616
44955.0,MB,6628.88448," ['Physical properties of the calendar', 'Physical properties of the calendar']  
The vikram samvat calendar is official in Nepal.",['Nepal'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: vikram samvat calender is official in which country
",255.983616
44955.0,MB,6628.88448," ['The 1976 Academy Awards: Best Picture Winner', 'The 1976 Academy Awards: Best Picture Winner']

**Answer:**
- The Oscar for Best Picture in 1976 was won by ""Network.""",['Rocky'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who won the oscar for best picture in 1976
",255.983616
44955.0,MB,6628.88448," ['Protein synthesis', 'Protein synthesis', 'Protein synthesis', 'Protein synthesis', 'Protein synthesis', 'Protein synthesis', 'Protein synthesis', 'Protein synthesis', 'Protein synthesis', 'Protein synthesis']

The protein is made in the cell through the process of protein synthesis, which involves the transcription of DNA to mRNA in the nucleus and the translation of mRNA to protein in the ribosomes of the cytoplasm. This process is also known as gene expression",['cell nucleus' 'in the cell nucleus'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where is the protien made in the cell
",255.983616
44955.0,MB,6628.88448," ['Life of Pi', 'Life of Pi']  
Answer: The tiger's name in *Life of Pi* is Richard Parker.",['Richard Parker'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the tigers name in life of pi
",255.983616
44955.0,MB,6628.88448," ['AS Time Goes By', 'AS Time Goes By']

**Answer:**
- The actor who played Lionel in ""As Time Goes By"" is James Spader.","['Geoffrey Dyson Palmer' 'Geoffrey Dyson Palmer, OBE']",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played lionel in as time goes by
",255.983616
44955.0,MB,6628.88448," ['MEXICAN WINTER OLYMPICS', 'MEXICAN WINTER OLYMPICS']  
Answer:  
- Mexico plays in the Winter Olympics as part of the International Olympic Committee (IOC) events, with the specific participation details mentioned in the document.  
- The document refers to ""MEXICAN WINTER OLYMPICS"" as the title, and the ID is ""MEXICAN WINTER OLYMPICS"".",['9 to 25 February 2018'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does mexico play in the winter olympics
",255.983616
44955.0,MB,6628.88448," ['Pretty Little Liars', '3']  
Answer: The head ""A"" in *Pretty Little Liars* is a mysterious character who is the mastermind behind many of the series' plot twists. The identity of ""A"" is revealed to be the person who has been manipulating the lives of the main characters, often through letters and messages. The head ""A"" is not a single person but can refer to different individuals throughout the series, though the most prominent and final revelation is that",['CeCe Drake'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is the head a in pretty little liars
",255.983616
44955.0,MB,6628.88448," ['NCIS: Los Angeles', 'NCIS: Los Angeles']  
Answer:  
- G in NCIS: Los Angeles stands for ""Group"" or ""Gang"". The show focuses on a team of agents, known as ""the G"" (short for ""Group""), who work together to investigate crimes and protect national security.",['Grisha'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what does g stand for in ncis los angeles
",255.983616
44955.0,MB,6628.88448," ['Physical properties of the stomach lining', '1']  
The membrane on the surface of the stomach is called the **mucosa**. It is a thin, protective layer that secretes mucus and other substances to protect the stomach from digestive acids and enzymes.",['Serous Membrane' 'the visceral membrane'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the membrane on the surface of the stomach called
",255.983616
44955.0,MB,6628.88448," ['Title: ""Physical"" - ID: 104', 'Title: ""National Anthem"" - ID: 103']

Answer:  
- The ""Physical"" document (ID: 104) mentions that ""the national anthem"" is a part of the law.  
- The ""National Anthem"" document (ID: 103) states that ""it became law to stand for the national anthem"" in 1945.","['June 22, 1942']",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did it become law to stand for the national anthem
",255.983616
44955.0,MB,6628.88448," ['P4O10', 'P4O10']  
Answer:  
- The compound P4O10 is known as tetraphosphorus decoxide.",['Phosphorus pentoxide'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the name of the compound p4010
",255.983616
44955.0,MB,6628.88448," ['The product of this decay is', 'the isotope produced by the decay of Krypton-85 when it emits a beta particle.']

**Title:** Physical decay of Krypton-85  
**ID:** 1

**Answer:**  
- The product of the decay of Krypton-85 when it emits a beta particle is the isotope produced by the decay process.",['rubidium-85'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: krypton-85 decays by emission of a beta particle. the product of this decay is
",255.983616
44955.0,MB,6628.88448," ['The Criminal Mind', 'Criminal Minds', 'Criminal Minds (TV series)', 'Criminal Minds (TV series)', 'Criminal Minds (TV series)']  
Answer: Gideon dies in the episode titled ""The Truth About Lies"" (Season 10, Episode 12) of *Criminal Minds*.","['""Nelson\'s Sparrow""' ""Nelson's Sparrow""]",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: which episode does gideon die in criminal minds
",255.983616
44955.0,MB,6628.88448," ['The first Jnanpith Award was given to a writer in the Malayalam language.']

**Title:** The Jnanpith Award - A Brief History  
**ID:** 1",['Malayalam'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first jnanpith award was an autor of which language
",255.983616
44955.0,MB,6628.88448," ['Israeli Declaration of Independence', '49']  
The first signatory of the Israeli Declaration of Independence was **David Ben-Gurion**.",['David Ben-Gurion'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who was the first signatory of the israeli declaration of independence
",255.983616
44955.0,MB,6628.88448," ['Qing Dynasty', '1']  
The rulers of the Qing Dynasty originated from the Manchu people, who were a Tungusic ethnic group from the northeastern region of China (modern-day Northeast China). The Qing Dynasty was founded by the Manchu people, and its emperors were of Manchu descent.",['Manchuria'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where did the rulers of the qing dynasty originate
",255.983616
44955.0,MB,6628.88448," ['Where Are You Now? (song)', 'Where Are You Now? (song)']  
Answer:  
- ""Where Are You Now?"" came out in 1987 as part of the album *Rumours* by Fleetwood Mac.","['February 27, 2015' 'February\xa027,\xa02015']",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did where are you now come out
",255.983616
44955.0,MB,6628.88448," ['The Song and the Story: The Making of ""We Are the World""', '1']  
['We Are the World']",['produced by Quincy Jones'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who made the song we are the world
",255.983616
44955.0,MB,6628.88448," ['Baby (2017) - 1', 'Baby (2017) - 1']

**Answer:**
- The rap in ""Baby"" by Justin Bieber is sung by Justin Bieber himself.",['Ludacris'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the rap in baby by justin bieber
",255.983616
44955.0,MB,6628.88448," ['Physical Sciences and Engineering', '1']  
['Jawaharlal Nehru Centre for Advanced Scientific Research, Jakkur Campus']","['Jakkur, Bangalore, India']",0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: jawaharlal nehru centre for advanced scientific research jakkur campus
",255.983616
