memory_budget,task,retained_kv_memory_mb,uncompressed_kv_memory_gb,question,uncompressed_kv_memory_mb,kv_memory_per_token_kb,split,answer_prefix,retained_kv_memory_gb,max_new_tokens,context_tokens,memory_budget_unit,retained_context_tokens,token_budget,compression_ratio,predicted_answer,answers
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the great mosque constructed at the site of the old temple in the city originating christianity in Rome, Egypt, Judea and the country for Vasilopita?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""The Great Mosque and the Origins of Christianity in Rome, Egypt, and Judea""  
   **ID:** 1  
   **Content:** The Great Mosque was constructed at the site of the old temple in the city originating Christianity in Rome, Egypt, and Judea.  

2. **Title:** ""The Great Mosque and the Vasilopita Tradition""  
   **ID:** 2  
   **Content:** The Great Mosque was constructed at the site of",['Al - Aqsa Mosque']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What label was bought in the UK by the other major New York broadcast that is in addition to ABC, and the one who released Stand Against Fear?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""What label was bought in the UK by the other major New York broadcast that is in addition to ABC, and the one who released Stand Against Fear?""  
**ID:** 1

**Answer:**
- The label that was bought in the UK by the other major New York broadcast, in addition to ABC, is ""Stand Against Fear.""  
- This label is associated with the release of the song ""Stand Against Fear.""",['Oriole Records.']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the rx 350 model of the luxury division of the company that built Daihatsu boon change body style?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"350

**Title:** When did the rx 350 model of the luxury division of the company that built Daihatsu boon change body style?  
**ID:** 350

The query is asking about when the rx 350 model of the luxury division of the company that built Daihatsu boon changed its body style. However, there is no direct information in the provided documents about the rx 350 model or its body style change. The documents",['Sales began worldwide in April 2012']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1943

TITLE: The Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to died  
ID: 1895767777777",['1952']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What UK label was bought by the company which, along with ABC and the network which broadcasted Hello, Larry, is the other major broadcaster based in NY?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""What UK label was bought by the company which, along with ABC and the network which broadcasted Hello, Larry, is the other major broadcaster based in NY?""  
   **ID**: 1

The answer is: The UK label ""New Times"" was bought by the company which, along with ABC and the network which broadcasted ""Hello, Larry,"" is the other major broadcaster based in NY. This refers to the company that acquired the ""New Times"" label",['Oriole Records.']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the country where Siddhi Savetsila was born form an alliance with Japan?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1941

TITLE: The 1973 Japanese Economic Crisis  
ID: 19730101

TITLE: The 1973 Japanese Economic Crisis  
ID: 19730102

TITLE: The 1973 Japanese Economic Crisis  
ID: 19730103

TITLE: The 1973 Japanese Economic Crisis  
ID: 19730104",['1941']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The Beach was filmed in what location of the country that contains the birth city of Siddhi Savetsila?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""The Beach"" (film)  
   **ID**: 1  
   **Answer**: The Beach was filmed in the location of the country that contains the birth city of Siddhi Savetsila, which is Thailand. The film was shot in the southern part of Thailand, specifically in the area of Pattaya, which is part of the Chonburi Province.

2. **Title**: ""Sino-Tang relations""  
   **ID**: 2  
",['island Koh Phi Phi']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Arie Supriyatna's birth country was one participant in a Commission of Truth and Friendship. Who is the president of the other country that participated?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""Arie Supriyatna's birth country was one participant in a Commission of Truth and Friendship. Who is the president of the other country that participated?""  
   **ID:** 1

**Answer:**
- The president of the other country that participated in the Commission of Truth and Friendship is **Donald Trump**.",['Francisco Guterres']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the meaning of the word that is also a majority religion in the area that became India when the country that withdrew its forces was created in the Arabic dictionary?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""What is the meaning of the word that is also a majority religion in the area that became India when the country that withdrew its forces was created in the Arabic dictionary?""  
   **ID:** 1

2. **Title:** ""What is the meaning of the word that is also a majority religion in the area that became India when the country that withdrew its forces was created in the Arabic dictionary?""  
   **ID:** 2

**Answer List:**
-",['the country of India']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Widely practiced in the region having the second largest rain-forest in the world, how long ago did this religion arrive in Zhejiang?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1976-09-01

**Title:** Household income in the United States  
**ID:** 1976-09-01  

The document indicates that the religion in question was ""widespread in the region having the second largest rain-forest in the world"" and that it ""arrived in Zhejiang"" in 1976. Therefore, the religion arrived in Zhejiang 1976 - 197","['1,400 years']"
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the famous bridge in the city where the composer of La Silvia was born?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""La Silvia""  
   **ID**: 2  
   **Answer**: The famous bridge in the city where the composer of ""La Silvia"" was born is the ""Veiled Virgin"" (La Virgen Velada) bridge.",['Rialto Bridge']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the merchant of the city where the composer of Al gran sole carico d'amore takes place?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1981

TITLE: The Merchant of the City where the Composer of ""Al Gran Sole Carico D'Amore"" Takes Place  
ID: 1981",['16th - century']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who is the president of the newly declared independent country that formed the Timor Leste Commission of Truth and Friendship with the country where Pantar is found?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""Who is the president of the newly declared independent country that formed the Timor Leste Commission of Truth and Friendship with the country where Pantar is found?""  
   **ID:** 1

**Answer:**
- The president of the newly declared independent country that formed the Timor Leste Commission of Truth and Friendship is **José Maria Sampaio**.  
- The country where Pantar is found is **Timor-Leste**, and the commission was",['Francisco Guterres']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the famous bridge in the place of birth of who composed the Concerto in C Major Op 3 6?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""The Legend of the Bridge""  
   **ID**: 1  
   **Answer**: The famous bridge in the place of birth of the composer of the Concerto in C Major Op 3 6 is the **Millennium Bridge** in London.

2. **Title**: ""The Music of the 19th Century""  
   **ID**: 2  
   **Answer**: The composer of the Concerto in C Major Op 3 6",['Rialto Bridge']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Where do greyhound buses leave from the in the city where the headquarters of the production company which produced A Cosmic Christmas is located?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""Where do greyhound buses leave from the in the city where the headquarters of the production company which produced A Cosmic Christmas is located?""  
   **ID:** 1

2. **Title:** ""How do I find the answer to the question: Where do greyhound buses leave from the in the city where the headquarters of the production company which produced A Cosmic Christmas is located?""  
   **ID:** 2

**Answer:**
- The production company which produced",['Toronto Coach Terminal']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who was a prominent figure at the radio division of the network that created the version of The Biggest Loser set in the country where Seria is?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144," [Document ID: 197, Title: ""Super Nintendo Entertainment System""]  
The question refers to the ""radio division"" and the ""network that created the version of The Biggest Loser set in the country where Seria is."" This seems to be a mix of different contexts and possibly a misinterpretation or confusion in the query.

However, based on the given documents, there is no direct mention of a ""radio division"" or a ""network"" that created a version of """,['Walter Sabo']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What were the Genesis's advantages over the platform that plays Drac's Night Out?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"0

**Title:** What were the Genesis's advantages over the platform that plays Drac's Night Out?

**ID:** 0

**Answer:**
The document does not provide specific information about the advantages of the Genesis over the platform that plays ""Drac's Night Out."" However, it mentions that the ""Drac's Night Out"" game was part of the ""Drac's Night Out"" series, which was a 1980s game developed by the company ""Sc",['built on 16-bit architectures and offered improved graphics and sound']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When was the Palau de la Generalitat constructed in the city where Martin of the place where Castiliscar is located died?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""When was the Palau de la Generalitat constructed in the city where Martin of the place where Castiliscar is located died?""  
   **ID:** 1

The Palau de la Generalitat was constructed in the city of Barcelona. The question refers to ""Martin of the place where Castiliscar is located,"" which likely refers to the historical figure ""Martin of Castile"" or ""Martin the Great,"" who was associated with the region of Cast",['built in the 15th century']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the U.S. and the country in effective control of political and military functions of the group the People's Socialist Republic of Albania was a member of become allies?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""U.S. and China's Relationship with the Albanian People's Republic""  
   **ID**: 1  
   **Answer**: The U.S. and the country in effective control of the political and military functions of the group the People's Socialist Republic of Albania was a member of became allies in 1972. 

2. **Title**: ""History of the People's Socialist Republic of Albania""  
   **ID**: 2  
   **Answer",['June 1941']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What team does the person who hit the first home run at the new stadium in South Bronx play for?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1940s, the person who hit the first home run at the new stadium in the South Bronx played for the **New York Yankees**.

**Document Used:**
- Title: ""The 1940s: The Golden Age of Baseball""
- ID: 337

**Answer:**
- The person who hit the first home run at the new stadium in the South Bronx played for the New York Yankees.",['New York Yankees']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the Governorship end of the city where the author of Paenitentiam Agere died?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""When did the Governorship end of the city where the author of Paenitentiam Agere died?""  
   **ID:** 1

**Answer:**
- The author of ""Paenitentiam Agere"" (which is a Latin phrase meaning ""The Act of Repentance"") is not explicitly mentioned in the provided documents. However, the document titled ""The Development of the Idea of the State in the Middle Ages"" mentions that the """,['1952']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the famous bridge in the birth city of the composer of Scanderbeg?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""Scanderbeg"" (bridge)  
   **ID:** 1  
   **Answer:** The famous bridge in the birth city of the composer of ""Scanderbeg"" is the ""Veleti Bridge"" (also known as the ""Scanderbeg Bridge""). 

2. **Title:** ""The Legend of the Bridge""  
   **ID:** 2  
   **Answer:** The bridge is named after the composer, who was born in the city of",['Rialto Bridge']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the country where Ercole Manfredi was born form an alliance with Japan?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1941

TITLE: The 1944-1945 War in the Pacific
ID: 1973-01-01_1973-01-01

TITLE: The 1945-1946 War in the Pacific
ID: 1973-01-01_1973-01-01

The country where Ercole Manfredi was",['1941']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the country that includes the birth city of Bodindecha form an alliance with Japan?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1941

TITLE: ""The country that includes the birth city of Bodindecha formed an alliance with Japan in the year 1941.""
ID: ""1941""",['1941']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What was Nintendo's limit on games per developer per year for the platform with an abbreviated name that had the game Sunman?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""Super Nintendo Entertainment System""  
   **ID**: 3  
   **Answer**: Nintendo's limit on games per developer per year for the platform with an abbreviated name that had the game ""Sunman"" was 12 games.",['five']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In the Arabic dictionary, what's the meaning of the word for the majority religion in the area of British India that became India when Dourkhan's country was created?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""In the Arabic dictionary, what's the meaning of the word for the majority religion in the area of British India that became India when Dourkhan's country was created?""  
   **ID**: 1

2. **Title**: ""The meaning of the word 'Dourkhan' in the Arabic dictionary""  
   **ID**: 2

**Answer List:**
1. The majority religion in the area of British India that became India when D",['the country of India']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What was the wettest year in the city that shares the same county as the ghost town Allen?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""Wettest Year in the City That Shares the Same County as the Ghost Town Allen""  
   **ID:** 1

2. **Title:** ""Household Income in the United States""  
   **ID:** 2

**Answer List:**
- The wettest year in the city that shares the same county as the ghost town Allen was 1976.",['1905']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What was Nintendo's limit on games per developer per year on the platform with a three letter abbreviation, that had the game Pinball Quest?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""Super Nintendo Entertainment System""  
   **ID**: 3  
   **Answer**: Nintendo's limit on games per developer per year on the platform with a three-letter abbreviation (SNES) was 12 games. This limit was in place for the Super Nintendo Entertainment System (SNES).

2. **Title**: ""Super Nintendo Entertainment System""  
   **ID**: 3  
   **Answer**: The game ""Pinball Quest"" was part of the SN",['five']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What UK label was bought by the company which, along with ABC and the network which broadcasted Here and Now, is the other major broadcaster based in NY?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""What UK label was bought by the company which, along with ABC and the network which broadcasted Here and Now, is the other major broadcaster based in NY?""  
**ID**: 1

**Answer List**:
- The UK label ""New Times"" was bought by the company which, along with ABC and the network which broadcasted ""Here and Now"", is the other major broadcaster based in NY.",['Oriole Records.']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the castle in the city where the headquarters of the production company of Care Bear: Journey to Joke-a-lot is located?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""The Legend of the Castle""  
   **ID**: 1  
   **Answer**: The name of the castle in the city where the headquarters of the production company of Care Bear: Journey to Joke-a-lot is located is the ""Jaguar Castle"".  

2. **Title**: ""The City of the Castle""  
   **ID**: 2  
   **Answer**: The city where the headquarters of the production company of Care Bear: Journey to",['Casa Loma']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In the Arabic dictionary, what's the meaning of the word for the majority religion in the area of British India that became India when Achh's country was created?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""In the Arabic dictionary, what's the meaning of the word for the majority religion in the area of British India that became India when Achh's country was created?""  
   **ID**: 1

2. **Title**: ""The meaning of the word 'Achh' in the Arabic dictionary""  
   **ID**: 2

**Answer List:**
- The majority religion in the area of British India that became India when Achh's country was",['the country of India']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the RX 350 from the Scion xB manufacturer's luxury division change body style?
",17613.029376,147.456,test,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1

**Title:** ""When did the RX 350 from the Scion xB manufacturer's luxury division change body style?""

**ID:** 337

**Answer:**
The Scion xB is a compact car produced by Toyota's Scion division, which was a separate brand from the main Toyota brand. The RX 350 is a model from Toyota's luxury division, Lexus, not from the Scion xB. Therefore, there is no direct connection",['Sales began worldwide in April 2012']
