retained_context_tokens,question,answer_prefix,uncompressed_kv_memory_gb,retained_kv_memory_mb,retained_kv_memory_gb,context_length,max_new_tokens,predicted_answer,context_tokens,answer,kv_memory_per_token_kb,task,uncompressed_kv_memory_mb,compression_ratio
34329.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area? ",Answer:,2.249785344,2249.785344,2.249785344,32768,32, Kansas Song,34329.0,['Kansas Song'],65.536,qa_2,2249.785344,0.0
33053.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni? ",Answer:,2.166161408,2166.161408,2.166161408,32768,32, David Weissman,33053.0,['David Weissman'],65.536,qa_2,2166.161408,0.0
32822.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective? ",Answer:,2.151022592,2151.022592,2.151022592,32768,32, 1999,32822.0,['1999'],65.536,qa_2,2151.022592,0.0
32673.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Random House Tower and 888 7th Avenue both used for real estate? ",Answer:,2.141257728,2141.257728,2.141257728,32768,32," Yes, both the Random House Tower and 888 7th Avenue are used for real estate purposes, as the Random House Tower is a mixed-use",32673.0,['no'],65.536,qa_2,2141.257728,0.0
33651.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The football manager who recruited David Beckham managed Manchester United during what timeframe? ",Answer:,2.205351936,2205.351936,2.205351936,32768,32, 1986 to 2013,33651.0,['from 1986 to 2013'],65.536,qa_2,2205.351936,0.0
33457.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Brown State Fishing Lake is in a country that has a population of how many inhabitants ? ",Answer:,2.192637952,2192.637952,2.192637952,32768,32," 9,984",33457.0,"['9,984']",65.536,qa_2,2192.637952,0.0
33434.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996? ",Answer:,2.191130624,2191.130624,2.191130624,32768,32, North Atlantic Conference,33434.0,['the North Atlantic Conference'],65.536,qa_2,2191.130624,0.0
34386.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Giuseppe Verdi and Ambroise Thomas both Opera composers ? ",Answer:,2.253520896,2253.520896,2.253520896,32768,32," Yes, Giuseppe Verdi and Ambroise Thomas are both opera composers.",34386.0,['yes'],65.536,qa_2,2253.520896,0.0
34885.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years? ",Answer:,2.28622336,2286.22336,2.28622336,32768,32, 1969 until 1974,34885.0,['1969 until 1974'],65.536,qa_2,2286.22336,0.0
34432.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which writer was from England, Henry Roth or Robert Erskine Childers? ",Answer:,2.256535552,2256.535552,2.256535552,32768,32, Robert Erskine Childers,34432.0,['Robert Erskine Childers DSC'],65.536,qa_2,2256.535552,0.0
33052.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990? ",Answer:,2.166095872,2166.095872,2.166095872,32768,32, Pedro Rodríguez,33052.0,['Pedro Rodríguez'],65.536,qa_2,2166.095872,0.0
33307.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: This singer of A Rather Blustery Day also voiced what hedgehog? ",Answer:,2.182807552,2182.807552,2.182807552,32768,32, Sonic the Hedgehog,33307.0,['Sonic'],65.536,qa_2,2182.807552,0.0
32643.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with? ",Answer:,2.139291648,2139.291648,2.139291648,32768,32, keyboard function keys,32643.0,['keyboard function keys'],65.536,qa_2,2139.291648,0.0
31203.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?  ",Answer:,2.044919808,2044.919808,2.044919808,32768,32, Badly Drawn Boy,31203.0,['Badly Drawn Boy'],65.536,qa_2,2044.919808,0.0
31909.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992? ",Answer:,2.091188224,2091.188224,2.091188224,32768,32, IFFHS World's Best Goalkeeper,31909.0,"[""World's Best Goalkeeper""]",65.536,qa_2,2091.188224,0.0
33019.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the writer of These Boots Are Made for Walkin' and who died in 2007? ",Answer:,2.163933184,2163.933184,2.163933184,32768,32, Lee Hazlewood,33019.0,['Barton Lee Hazlewood'],65.536,qa_2,2163.933184,0.0
34692.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year? ",Answer:,2.273574912,2273.574912,2.273574912,32768,32, 1838,34692.0,['1838'],65.536,qa_2,2273.574912,0.0
34551.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are both Dictyosperma, and Huernia described as a genus? ",Answer:,2.264334336,2264.334336,2.264334336,32768,32," Yes, both Dictyosperma and Huernia are described as a genus.",34551.0,['yes'],65.536,qa_2,2264.334336,0.0
31066.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding? ",Answer:,2.035941376,2035.941376,2.035941376,32768,32, Yes,31066.0,['Henry J. Kaiser'],65.536,qa_2,2035.941376,0.0
33151.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre? ",Answer:,2.172583936,2172.583936,2.172583936,32768,32, Arena of Khazan,33151.0,['Arena of Khazan'],65.536,qa_2,2172.583936,0.0
30556.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When was Poison's album ""Shut Up, Make Love"" released? ",Answer:,2.002518016,2002.518016,2.002518016,32768,32, 2000,30556.0,['2000'],65.536,qa_2,2002.518016,0.0
32111.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from? ",Answer:,2.104426496,2104.426496,2.104426496,32768,32, Japan,32111.0,"['Fujioka, Gunma']",65.536,qa_2,2104.426496,0.0
32885.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which  French ace pilot and adventurer fly L'Oiseau Blanc ",Answer:,2.15515136,2155.15136,2.15515136,32768,32, Charles Nungesser,32885.0,['Charles Eugène'],65.536,qa_2,2155.15136,0.0
33961.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Freakonomics and In the Realm of the Hackers both American documentaries? ",Answer:,2.225668096,2225.668096,2.225668096,32768,32," No, Freakonomics is an American documentary, but In the Realm of the Hackers is an Australian documentary.",33961.0,['no'],65.536,qa_2,2225.668096,0.0
32023.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which band, Letters to Cleo or Screaming Trees, had more members? ",Answer:,2.098659328,2098.659328,2.098659328,32768,32, Screaming Trees,32023.0,['Letters to Cleo'],65.536,qa_2,2098.659328,0.0
34149.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ? ",Answer:,2.237988864,2237.988864,2.237988864,32768,32, 1923,34149.0,['October 1922'],65.536,qa_2,2237.988864,0.0
33324.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year? ",Answer:,2.183921664,2183.921664,2.183921664,32768,32, 2000,33324.0,['2000'],65.536,qa_2,2183.921664,0.0
33574.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties? ",Answer:,2.200305664,2200.305664,2.200305664,32768,32, World War II,33574.0,['World War II'],65.536,qa_2,2200.305664,0.0
32980.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan? ",Answer:,2.16137728,2161.37728,2.16137728,32768,32," No, Elko Regional Airport is located in Nevada, while Gerald R. Ford International Airport is located in Michigan.",32980.0,['no'],65.536,qa_2,2161.37728,0.0
34353.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Ralph Hefferline was a psychology professor at a university that is located in what city? ",Answer:,2.251358208,2251.358208,2.251358208,32768,32, New York City,34353.0,['New York City'],65.536,qa_2,2251.358208,0.0
32081.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie? ",Answer:,2.102460416,2102.460416,2.102460416,32768,32, Scotch Collie,32081.0,['Scotch Collie'],65.536,qa_2,2102.460416,0.0
33517.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Where is the company that Sachin Warrier worked for as a software engineer headquartered?  ",Answer:,2.196570112,2196.570112,2.196570112,32768,32," Mumbai, Maharashtra",33517.0,['Mumbai'],65.536,qa_2,2196.570112,0.0
33516.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year? ",Answer:,2.196504576,2196.504576,2.196504576,32768,32, 1962,33516.0,['1962'],65.536,qa_2,2196.504576,0.0
31544.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia? ",Answer:,2.067267584,2067.267584,2.067267584,32768,32, Ethiopian sovereignty,31544.0,['sovereignty'],65.536,qa_2,2067.267584,0.0
34227.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President? ",Answer:,2.243100672,2243.100672,2.243100672,32768,32, Nelson Rockefeller,34227.0,['Nelson Rockefeller'],65.536,qa_2,2243.100672,0.0
33113.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area? ",Answer:,2.170093568,2170.093568,2.170093568,32768,32, Yellowcraigs,33113.0,['Yellowcraig'],65.536,qa_2,2170.093568,0.0
34622.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono? ",Answer:,2.268987392,2268.987392,2.268987392,32768,32, Phil Spector,34622.0,['Phil Spector'],65.536,qa_2,2268.987392,0.0
34183.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What type of forum did a former Soviet statesman initiate? ",Answer:,2.240217088,2240.217088,2.240217088,32768,32, The World Summit of Nobel Peace Laureates,34183.0,['Organizations could come together to address global issues'],65.536,qa_2,2240.217088,0.0
33615.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Ferocactus and Silene both types of plant? ",Answer:,2.20299264,2202.99264,2.20299264,32768,32," Yes, Ferocactus and Silene are both types of plants. Ferocactus is a genus of large barrel-shaped cacti, and Silene is",33615.0,['yes'],65.536,qa_2,2202.99264,0.0
32813.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II? ",Answer:,2.150432768,2150.432768,2.150432768,32768,32, English Electric Canberra,32813.0,['English Electric Canberra'],65.536,qa_2,2150.432768,0.0
33117.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play? ",Answer:,2.170355712,2170.355712,2.170355712,32768,32," 2009, Big 12 Conference",33117.0,['2009 Big 12 Conference'],65.536,qa_2,2170.355712,0.0
32520.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016? ",Answer:,2.13123072,2131.23072,2.13123072,32768,32," 1,462",32520.0,"['1,462']",65.536,qa_2,2131.23072,0.0
32307.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What race track in the midwest hosts a 500 mile race eavery May? ",Answer:,2.117271552,2117.271552,2.117271552,32768,32, Indianapolis Motor Speedway,32307.0,['Indianapolis Motor Speedway'],65.536,qa_2,2117.271552,0.0
34360.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini? ",Answer:,2.25181696,2251.81696,2.25181696,32768,32, Rome,34360.0,['Rome'],65.536,qa_2,2251.81696,0.0
33800.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Ellie Goulding worked with what other writers on her third studio album, Delirium? ",Answer:,2.2151168,2215.1168,2.2151168,32768,32," Max Martin, Savan Kotecha, Ilya Salmanzadeh, Tove Lo, Ali Payami, Richard Stannard, Ash Howes",33800.0,"['Max Martin, Savan Kotecha and Ilya Salmanzadeh']",65.536,qa_2,2215.1168,0.0
32655.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name. ",Answer:,2.14007808,2140.07808,2.14007808,32768,32, Adelaide,32655.0,"['Marion, South Australia']",65.536,qa_2,2140.07808,0.0
33585.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: D1NZ is a series based on what oversteering technique? ",Answer:,2.20102656,2201.02656,2.20102656,32768,32, Drifting,33585.0,['Drifting'],65.536,qa_2,2201.02656,0.0
34066.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: who is younger Keith Bostic or Jerry Glanville ? ",Answer:,2.232549376,2232.549376,2.232549376,32768,32, Jerry Glanville,34066.0,['Keith Bostic'],65.536,qa_2,2232.549376,0.0
34697.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: According to the 2001 census, what was the population of the city in which Kirton End is located? ",Answer:,2.273902592,2273.902592,2.273902592,32768,32," 35,124",34697.0,"['35,124']",65.536,qa_2,2273.902592,0.0
31814.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are both Cypress and Ajuga genera? ",Answer:,2.084962304,2084.962304,2.084962304,32768,32, Yes,31814.0,['no'],65.536,qa_2,2084.962304,0.0
32925.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting? ",Answer:,2.1577728,2157.7728,2.1577728,32768,32, The shortest player ever to play in the National Basketball Association,32925.0,['shortest player ever to play in the National Basketball Association'],65.536,qa_2,2157.7728,0.0
34942.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith? ",Answer:,2.289958912,2289.958912,2.289958912,32768,32, Francis Ford Coppola,34942.0,['Ronald Shusett'],65.536,qa_2,2289.958912,0.0
34425.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was born earlier, Emma Bull or Virginia Woolf? ",Answer:,2.2560768,2256.0768,2.2560768,32768,32, Virginia Woolf,34425.0,['Adeline Virginia Woolf'],65.536,qa_2,2256.0768,0.0
31882.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of? ",Answer:,2.089418752,2089.418752,2.089418752,32768,32, 821,31882.0,['821'],65.536,qa_2,2089.418752,0.0
32430.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ? ",Answer:,2.12533248,2125.33248,2.12533248,32768,32, 70,32430.0,['more than 70 countries'],65.536,qa_2,2125.33248,0.0
32121.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in? ",Answer:,2.105081856,2105.081856,2.105081856,32768,32, Charmed,32121.0,['Charmed'],65.536,qa_2,2105.081856,0.0
32090.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame? ",Answer:,2.10305024,2103.05024,2.10305024,32768,32, International Boxing Hall of Fame,32090.0,['International Boxing Hall of Fame'],65.536,qa_2,2103.05024,0.0
34191.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks? ",Answer:,2.240741376,2240.741376,2.240741376,32768,32, Usher,34191.0,['Usher'],65.536,qa_2,2240.741376,0.0
32579.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: who is the younger brother of The episode guest stars of The Hard Easy  ",Answer:,2.135097344,2135.097344,2.135097344,32768,32, Bill Murray,32579.0,['Bill Murray'],65.536,qa_2,2135.097344,0.0
34370.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons? ",Answer:,2.25247232,2252.47232,2.25247232,32768,32, Carabao Cup,34370.0,['Carabao Cup'],65.536,qa_2,2252.47232,0.0
34212.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""? ",Answer:,2.242117632,2242.117632,2.242117632,32768,32, Teen Titans and the spin-off series Teen Titans Go!,34212.0,['Teen Titans Go!'],65.536,qa_2,2242.117632,0.0
33661.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the inhabitant of the city where  122nd SS-Standarte was formed in2014 ",Answer:,2.206007296,2206.007296,2.206007296,32768,32," 276,170",33661.0,"['276,170 inhabitants']",65.536,qa_2,2206.007296,0.0
34734.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag?  ",Answer:,2.276327424,2276.327424,2.276327424,32768,32, Orange,34734.0,['orange'],65.536,qa_2,2276.327424,0.0
34040.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn? ",Answer:,2.23084544,2230.84544,2.23084544,32768,32, Tromeo and Juliet,34040.0,['Tromeo and Juliet'],65.536,qa_2,2230.84544,0.0
34246.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Robert Suettinger was the national intelligence officer under which former Governor of Arkansas? ",Answer:,2.244345856,2244.345856,2.244345856,32768,32, Bill Clinton,34246.0,['William Jefferson Clinton'],65.536,qa_2,2244.345856,0.0
31917.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal? ",Answer:,2.091712512,2091.712512,2.091712512,32768,32, John John Florence,31917.0,['John John Florence'],65.536,qa_2,2091.712512,0.0
34361.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness? ",Answer:,2.251882496,2251.882496,2.251882496,32768,32, Ann,34361.0,['Ann'],65.536,qa_2,2251.882496,0.0
33850.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Alvaro Mexia had a diplomatic mission with which tribe of indigenous people? ",Answer:,2.2183936,2218.3936,2.2183936,32768,32, Ais,33850.0,['Apalachees'],65.536,qa_2,2218.3936,0.0
32681.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What nationality were social anthropologists Alfred Gell and Edmund Leach? ",Answer:,2.141782016,2141.782016,2.141782016,32768,32, British,32681.0,['British'],65.536,qa_2,2141.782016,0.0
34137.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In which year was the King who made the 1925 Birthday Honours born? ",Answer:,2.237202432,2237.202432,2.237202432,32768,32, 1865,34137.0,['1865'],65.536,qa_2,2237.202432,0.0
34264.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the county seat of the county where East Lempster, New Hampshire is located? ",Answer:,2.245525504,2245.525504,2.245525504,32768,32, Newport,34264.0,['Newport'],65.536,qa_2,2245.525504,0.0
32734.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ? ",Answer:,2.145255424,2145.255424,2.145255424,32768,32, Bob Seger,32734.0,['Bob Seger'],65.536,qa_2,2145.255424,0.0
33407.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional? ",Answer:,2.189361152,2189.361152,2.189361152,32768,32, requiring only men to register for the draft,33407.0,['Conscription'],65.536,qa_2,2189.361152,0.0
31638.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois? ",Answer:,2.073427968,2073.427968,2.073427968,32768,32, Mondelez International,31638.0,"['Mondelez International, Inc.']",65.536,qa_2,2073.427968,0.0
34131.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern? ",Answer:,2.236809216,2236.809216,2.236809216,32768,32, Monica Lewinsky,34131.0,['Monica Lewinsky'],65.536,qa_2,2236.809216,0.0
32418.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born? ",Answer:,2.124546048,2124.546048,2.124546048,32768,32," April 1, 1949",32418.0,"['April 1, 1949']",65.536,qa_2,2124.546048,0.0
34681.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published? ",Answer:,2.272854016,2272.854016,2.272854016,32768,32, 1866,34681.0,['1866'],65.536,qa_2,2272.854016,0.0
34119.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Where are Teide National Park and Garajonay National Park located? ",Answer:,2.236022784,2236.022784,2.236022784,32768,32," Teide National Park is located in Tenerife (Canary Islands, Spain) and Garajonay National Park is located in the center and north of the island",34119.0,"['Canary Islands, Spain']",65.536,qa_2,2236.022784,0.0
34257.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: How many copies of Roald Dahl's variation on a popular anecdote sold? ",Answer:,2.245066752,2245.066752,2.245066752,32768,32, 250 million,34257.0,['250 million'],65.536,qa_2,2245.066752,0.0
33439.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What occupation do Chris Menges and Aram Avakian share? ",Answer:,2.191458304,2191.458304,2.191458304,32768,32, Film director,33439.0,['director'],65.536,qa_2,2191.458304,0.0
34055.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Andrew Jaspan was the co-founder of what not-for-profit media outlet? ",Answer:,2.23182848,2231.82848,2.23182848,32768,32, The Conversation,34055.0,['The Conversation'],65.536,qa_2,2231.82848,0.0
34658.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which American film director hosted the 18th Independent Spirit Awards in 2002? ",Answer:,2.271346688,2271.346688,2.271346688,32768,32, John Waters,34658.0,['John Waters'],65.536,qa_2,2271.346688,0.0
32349.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Where does the hotel and casino located in which Bill Cosby's third album was recorded? ",Answer:,2.120024064,2120.024064,2.120024064,32768,32," Las Vegas, Nevada",32349.0,['Las Vegas Strip in Paradise'],65.536,qa_2,2120.024064,0.0
33190.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Do the drinks Gibson and Zurracapote both contain gin? ",Answer:,2.17513984,2175.13984,2.17513984,32768,32, No,33190.0,['no'],65.536,qa_2,2175.13984,0.0
31756.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held?  ",Answer:,2.081161216,2081.161216,2.081161216,32768,32, March and April,31756.0,['March and April'],65.536,qa_2,2081.161216,0.0
