question,answers,retained_kv_memory_mb,uncompressed_kv_memory_gb,token_budget,task,retained_context_tokens,compression_ratio,split,answer_prefix,memory_budget_unit,max_new_tokens,retained_kv_memory_gb,uncompressed_kv_memory_mb,memory_budget,context_tokens,predicted_answer,kv_memory_per_token_kb
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Debut novels released in 1953.
","['Battle Cry (Uris novel)' 'Go Tell It on the Mountain (novel)'
 'Junkie (novel)']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Scarlet Letter', 'The Life of Verdi', 'The God that Failed', 'The Lives of Animals', 'The Drowning Girl']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Penal system documentary films that are not about law enforcement in the United States
",['P4W: Prison for Women' 'The Phantom (2021 film)' 'Waseskun'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Assassination of Richard Nixon', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Village of No Return', 'The Last Winter', 'The Final Nexus', 'The Wandering Hill', 'The Peacekeepers', 'The Two Captains', 'The God that Failed', 'The Public Image', 'The Violent Bear It Away', 'The History of Sir Charles Grandison', 'The Last Winter', 'The Final Nexus', 'The W",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1984 Fantasy novels about the United Kingdom
",['Mythago Wood' 'Nights at the Circus'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Killing Joke', 'The History of Sir Charles Grandison', 'The Magician's Nephew', 'The Invincible Constable', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels published by Hutchinson about film director and producers
",['Laughing Gas (novel)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Making of the Representative for Planet 8', 'The Violent Bear It Away', 'The Veteran']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: American medical novels set in the 1940's
",['Hannibal Rising' 'Jewel (novel)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Violent Bear It Away', 'The Drowning Girl', 'The God that Failed', 'The Lives of Animals', 'The Scarlet Letter', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The God that Failed', 'The Lives of Animals', 'The Scarlet Letter', 'The History of Sir Charles Grandison']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Canadian documentaries about homelessness and LGBT
",['Ryan (film)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Village of No Return', 'The Abandoned', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Drowning Girl', 'The Public Image', 'The God that Failed', 'The Violent Bear It Away', 'The Drowning Girl', 'The Public Image', 'The God that Failed']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films set in Italy that are 1982 television films
","['Cavalleria rusticana (1982 film)' 'The Deadly Game (1982 film)'
 'The Life of Verdi (miniseries)']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Life of Verdi (miniseries)', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Animated non-children films set in New York (state)
",['Hulk: Where Monsters Dwell' 'Resident Evil: Vendetta'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: mystery drama films that are Chinese
",['A Lingering Face' 'Looking Up (film)' 'Ni Jing: Thou Shalt Not Steal'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Wandering Hill', 'The Village of No Return', 'The Violent Bear It Away', 'The Two Captains', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: exploitation films from the 1940s
","['Child Bride' 'I Accuse My Parents' ""The Devil's Sleep""]",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Wandering Hill', 'The Violent Bear It Away', 'I Accuse My Parents', 'The Drowning Girl', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', '",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Erico Verissimo works adapted into films
",['Time and the Wind'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Legend of the Jungle', 'Those Days (novel)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Contemporary fantasy romance novels, that aren't Urban fantasy
",['Midnight Sun (Meyer novel)' 'New Moon (novel)' 'Twilight (Meyer novel)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Adventures of Peregrine Pickle', 'The Scarlet Letter', 'The Violent Bear It Away', 'The Wandering Hill', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Young adult novels set in Oceania that are not Australian or for children
",['Boy at War' 'The Changeover' 'The Firebird Rocket'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Legend of Johnny Lingo', 'The Making of the Representative for Planet 8', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2012 comedy films that are also about social issues in the United States.
",['Killing Them Softly' 'Mac & Devin Go to High School'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Drowning Girl', 'Mac & Devin Go to High School']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Iranian novels or books by Sadegh Hedayat
",['My Uncle Napoleon' 'Savushun' 'The Blind Owl'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Bewitched', 'The Scarlet Letter', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Propaganda films that are epic and based on actual events.
",['Doctor Zhivago (film)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Last of the Buccaneers', 'The Gate to Women's Country', 'The Veteran', 'The Adventures of Jinbao', 'The Jungle Bunch', 'The God that Failed', 'The Lives of Animals', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Secret Man']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1960 Catholic fiction books
",['The Picturegoers' 'The Violent Bear It Away'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Scarlet Letter', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: NBC network original films about ideologies that are set in outer space.
",['Undercover with the KKK'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Making of the Representative for Planet 8', 'The Life of Verdi', 'The Sun']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1930 non american crime films
","['An Obvious Situation' ""That Night's Wife"" 'The Copper (1930 film)']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Copper', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away',",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s legal mystery drama films
",['Ace Attorney (film)' 'True Story (film)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Violent Bear It Away', 'The God that Failed', 'The Lives of Animals']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: French novels from 1913 or 1922, or that are mysteries
","['Le Grand Meaulnes' 'The Mysteries of Paris'
 'The Mystery of the Yellow Room']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Story Without a Name (novel)', 'The Bewitched', 'The Scarlet Letter', 'The Mystery of the Yellow Room']",147.456
