question,memory_budget_unit,retained_kv_memory_mb,token_budget,compression_ratio,context_length,predicted_answer,context_tokens,uncompressed_kv_memory_gb,memory_budget,context_id,task,kv_memory_per_token_kb,retained_kv_memory_gb,answer_prefix,uncompressed_kv_memory_mb,max_new_tokens,answer,retained_context_tokens
What is the value associated with key 614217BE3111? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D790B185C,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['5BE618C26797'],3472.0
What is the value associated with key 580DD8F56413? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,54C78D35390A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['43B79A8DCA03'],3472.0
What is the value associated with key 0B1FCE9FF57F? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `0B1FCE9FF57F` is `5417CAAA5BBE`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['759CBACFB3D0'],3472.0
What is the value associated with key 1FF489463E85? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `1FF489463E85` is `5417CAAA5BBE`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['EC1BF91E1D4C'],3472.0
What is the value associated with key 142C60E7A113? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B89F06E30000,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['4B0D8D5288F1'],3472.0
What is the value associated with key A0EED453DD32? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,A02135310298,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['E2AC9E574F7A'],3472.0
What is the value associated with key 5C94DC98D2C1? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,5417CAAA5BBE,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['313993CD59BF'],3472.0
What is the value associated with key 11CEB45ED1F0? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,1A2A562B0F79,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['A9480BBB2599'],3472.0
What is the value associated with key C5E73A578A8E? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,C5E73A578A8E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['FC374A15544D'],3472.0
What is the value associated with key DAF6146D3F31? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,DA94298933A9,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['DDD13B982EF8'],3472.0
What is the value associated with key 614F19DB3AD0? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,614F19DB3AD0,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['741247294739'],3472.0
What is the value associated with key D588A2BC372F? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,D588A2BC372F,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['29A35D65A441'],3472.0
What is the value associated with key 5AF35EC42E08? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,5AF35EC42E08,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['AB9035A240AE'],3472.0
What is the value associated with key B3AA4458A885? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B3AA4458A885,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['AEFCEFC89849'],3472.0
What is the value associated with key 1247A5E5A5AB? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with key `1247A5E5A5AB` is `1A2B3C4D5E6F,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['A28D9BF00273'],3472.0
What is the value associated with key 88BD2BCFBE01? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,8A2EC5580BB2,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['3EABBAA80DD4'],3472.0
What is the value associated with key 765629D4BEEF? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,66244E33D19E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['451B6123FDF7'],3472.0
What is the value associated with key ECE6FD5166E6? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,E0B1A6C48D8A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['B02BA3D70628'],3472.0
What is the value associated with key 38388E944239? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,66244E930C2A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['5304AF42E12F'],3472.0
What is the value associated with key C4B0D7C524A5? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,63F3D7C5D9A4,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['0E51C6A7EE39'],3472.0
What is the value associated with key D2613AA2E4F9? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,D2613AA2E4F9 is not a valid key in the provided list. Please check the key and try again.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['CE170837B8A3'],3472.0
What is the value associated with key 66B250C187FC? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,660A5E330C5A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['10F1448AAA9E'],3472.0
What is the value associated with key E9C33602F8AC? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,E9C33602F8AC,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['9132F16287E4'],3472.0
What is the value associated with key B7C9E059A0EE? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,5F98A65E688E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['366E508EBAD7'],3472.0
What is the value associated with key 7FCDA7CAD415? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with key `7FCDA7CAD415` is `7B07A4339053`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['E27A654821D0'],3472.0
What is the value associated with key A491EA1FCA65? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,A491EA1FCA65,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['2493757750A9'],3472.0
What is the value associated with key 23BE43CF2FDE? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,23BE43CF2FDE,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['BEB73F22FAF8'],3472.0
What is the value associated with key 89FA8FB5D27B? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,8FA832339053,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['BF3C434308BC'],3472.0
What is the value associated with key 6DAD95A76D79? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6E3C14348F62,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['9562E5D7B875'],3472.0
What is the value associated with key 5CAB663F1C97? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `5CAB663F1C97` is `5C3D4A307D5,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['FF50382567B8'],3472.0
What is the value associated with key 2369FF5E9FF0? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,67E3F02C5A1E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['7E57827050A8'],3472.0
What is the value associated with key C17A1745D6D8? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,D9778309044E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['DC710C0FD195'],3472.0
What is the value associated with key 27201C11F735? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,637BD617B9C0,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['28F4A0A04DC4'],3472.0
What is the value associated with key AE34CAC5B68C? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,AE34CAC5B68C,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['98AE6C12ACE8'],3472.0
What is the value associated with key 628010435A10? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,628010435A10,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['988C61B1CD22'],3472.0
What is the value associated with key 77D2FF01CF99? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,7B07D572C4E6,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['405C877409A9'],3472.0
What is the value associated with key 8DA0F89897B9? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,8A4E8D9C0C2C,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['F143DC5C0EED'],3472.0
What is the value associated with key AE2702F06B90? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,AE2702F06B90: 1A89C6685D62,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['1D53B88139B9'],3472.0
What is the value associated with key E281AE849217? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,E281AE849217 is not a valid key in the provided list. Please check the key and try again.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['C0398976E334'],3472.0
What is the value associated with key C4C2444EA7C8? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,C4C2444EA7C8,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['5715A4161293'],3472.0
What is the value associated with key 4B221C8EAEE9? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with key `4B221C8EAEE9` is `004ED3D877A8`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['287D6F4CC69A'],3472.0
What is the value associated with key 00D474273CA3? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6E0C340E9183,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['B8DBF42D47CC'],3472.0
What is the value associated with key B83CE037E5ED? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B83CE037E5ED,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['F8CD436D76E2'],3472.0
What is the value associated with key C30F8026695F? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,C30F8026695F,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['81F72DBC2134'],3472.0
What is the value associated with key 1B3DE9A1FA6F? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `1B3DE9A1FA6F` is `501B5E031424,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['A013DEDA4E16'],3472.0
What is the value associated with key D7774C66E0A8? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,D7774C66E0A8 is not a valid key in the provided list. Please check the key and try again.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['81F6A39231A7'],3472.0
What is the value associated with key 32EB9BE578C7? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6E3C14348D8E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['5FB82720797D'],3472.0
What is the value associated with key 295BC333E861? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,"The key ""295BC333E861"" is not present in the provided list.",58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['F4188A14BE62'],3472.0
What is the value associated with key EC24C754108F? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D264AE04F,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['EB2287C5421E'],3472.0
What is the value associated with key 995400257AD1? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,998D90C1D5AA,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['7D1552FBE43B'],3472.0
What is the value associated with key 1CA304FC6D82? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D790BEB94,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['5CECEDD96831'],3472.0
What is the value associated with key FC3EE0F3EAB0? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,FC04CE908D8A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['CE88D4E80839'],3472.0
What is the value associated with key 3D4C4EB93EFF? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B7C08D33900D,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['3DA90ED42F1A'],3472.0
What is the value associated with key 913EE0C53CB8? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,67C3D48A35E4,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['1429F26B4776'],3472.0
What is the value associated with key BB5E15ED6269? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6E3C1434E44A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['D0E67C69DEE1'],3472.0
What is the value associated with key FA5D11B7E948? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D264AE04F,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['885FC2B6D2C5'],3472.0
What is the value associated with key 2031C40DB9B4? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,D9F30A123456,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['A8E520DE435D'],3472.0
What is the value associated with key F26479AC1B1E? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6C344E05E3A9,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['2A458CBFEDB0'],3472.0
What is the value associated with key 871543DAC043? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,8AA643619053,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['9B49DF57C59A'],3472.0
What is the value associated with key F6E06C52C49F? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6B6E5D23E91E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['EDCD36386821'],3472.0
What is the value associated with key C1598A0F4EFB? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B7C4D9A3E91D,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['B09BBADCC32A'],3472.0
What is the value associated with key B683337EA2DF? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B683337EA2DF,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['66244FCCA39A'],3472.0
What is the value associated with key ABF3FEC21BBE? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `ABF3FEC21BBE` is `5C650F8A0C2C`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['5F98A65E688E'],3472.0
What is the value associated with key E64D702753A1? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,E64D702753A1 is not a valid key in the provided list. Please check the key and try again.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['7394847FD9B4'],3472.0
What is the value associated with key 3F761EFA2197? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `3F761EFA2197` is `18A2C3541D0,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['10643985C3CF'],3472.0
What is the value associated with key 0562568CC69B? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D4E0648D0,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['8DCD969B6662'],3472.0
What is the value associated with key 96A43AE8CC93? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6E3C1434FE85,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['01D738602AB6'],3472.0
What is the value associated with key B535122C9A56? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B89434E5D30A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['0F12A18FF6B6'],3472.0
What is the value associated with key 11413A9BEDD4? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,116598549001,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['080AE7C99B26'],3472.0
What is the value associated with key 5496DC1110C1? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,5AF34A6833A9,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['839F1223B513'],3472.0
What is the value associated with key 474A3CEDDF2D? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with key `474A3CEDDF2D` is `23C883F39000`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['7C44AB4220A7'],3472.0
What is the value associated with key 8A0B36D8393A? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,668748530918,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['B92D21DF306F'],3472.0
What is the value associated with key E1E3EF7DDC76? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,E1E3EF7DDC76,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['9382922FE15A'],3472.0
What is the value associated with key 3E357900F7F9? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B09F024D883E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['7914C8DCD19F'],3472.0
What is the value associated with key 6835CEB81F9D? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `6835CEB81F9D` is `59E415A0C3D,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['182530BEB45F'],3472.0
What is the value associated with key A8B318D0752B? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D790FA4A6,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['5AB36E595ED3'],3472.0
What is the value associated with key 693D6C6FA611? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,63FDA891D5AA,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['DD24778EEDB3'],3472.0
What is the value associated with key 0DDEBAA4B71A? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,BDD606671AD1,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['A748AC619E63'],3472.0
What is the value associated with key A56CFBF24050? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,A8B3D98C344C,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['0F841931E9EE'],3472.0
What is the value associated with key BA6C6712303A? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,183785432196,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['CCF356DC8907'],3472.0
What is the value associated with key 1BF9DC96925E? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,103094857840,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['310C3FA7F104'],3472.0
What is the value associated with key 894A30B187EF? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,8C530C9FA6E6,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['23E272D8567D'],3472.0
What is the value associated with key 2EF96C006F61? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,66244E630E6A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['766E474EBC19'],3472.0
What is the value associated with key DFDE3FF350BF? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,BDA30913590A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['134CEC5B227C'],3472.0
What is the value associated with key CEDA71710434? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D790B905D,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['DB20DC815FE7'],3472.0
What is the value associated with key 19108CE21EA3? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,1C80A3B1799D,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['A6F20CF35B58'],3472.0
What is the value associated with key 8A63FFD0F9D5? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6E4D4269C28E,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['03C7D605E770'],3472.0
What is the value associated with key 17E0F8102383? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with key `17E0F8102383` is `1C80A3B1799,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['C0E9ED2662E9'],3472.0
What is the value associated with key 3C83D9441FA5? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,639D790B185C,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['680A2A935D62'],3472.0
What is the value associated with key 7B3A7C52FA17? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `7B3A7C52FA17` is `501B5EE68E0A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['DD5936B82481'],3472.0
What is the value associated with key E70666AA9385? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,E70666AA9385,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['2A250F02BAD0'],3472.0
What is the value associated with key 008D610461E3? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with the key `008D610461E3` is `5417CAAA5BBE`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['63F2FC3D3348'],3472.0
