predicted_answer,max_new_tokens,task,retained_kv_memory_gb,kv_memory_per_token_kb,split,compression_ratio,question,retained_context_tokens,answers,retained_kv_memory_mb,context_tokens,answer_prefix,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb
" ['The Peacekeepers', 'Chain of Attack', 'The Vulcan Academy Murders', 'The Boys from Brazil', 'The Portage to San Cristobal of A.H.', 'The Two Captains', 'The Trellisane Confrontation']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gene DeWeese novels
",44399.0,['Chain of Attack' 'The Final Nexus' 'The Peacekeepers'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Midnight Zoo', 'The Violent Bear It Away', 'The Lives of Animals', 'The Girl on the Stairs', 'The Public Image', 'The Final Reflection', 'The Lives of Animals', 'The Violent Bear It Away', 'The Public Image', 'The Final Reflection']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s speculative fiction novels about Washington (state) and the United States.
",44399.0,['Seveneves'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990's historical films about security and surveillance that are set in England
",44399.0,['Elizabeth (film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Public Image', 'The Girl on the Stairs']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1890s historical books and novels published by Harper & Brothers
",44399.0,['Personal Recollections of Joan of Arc'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Story Without a Name (novel)', 'The Bewitched', 'The Public Image', 'The Gate to Women's Country', 'The Lives of Animals', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: History/Adventure books about France from 1933
",44399.0,['The Way of the Scarlet Pimpernel'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Waxworks Murder', 'Poison in Jest', 'The Bewitched']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Crime novels that are both American crime novels and 1932 novels
",44399.0,['Poison in Jest' 'The Waxworks Murder'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['Waseskun', 'P4W: Prison for Women', 'The Samovar Girl', 'The Two Captains', 'The Violent Bear It Away', 'The Midnight Zoo', 'The Two Who Stole the Moon', 'The Girl on the Stairs', 'The Peacekeepers', 'The Last Chance', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Violent Bear It Away', 'The Midnight",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Penal system documentary films that are not about law enforcement in the United States
",44399.0,['P4W: Prison for Women' 'The Phantom (2021 film)' 'Waseskun'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Two Captains', 'The Peacekeepers']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1984 Fantasy novels about the United Kingdom
",44399.0,['Mythago Wood' 'Nights at the Circus'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels published by Hutchinson about film director and producers
",44399.0,['Laughing Gas (novel)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Samovar Girl', 'The Midnight Zoo', 'The Gate to Women's Country', 'Waseskun', 'P4W: Prison for Women', 'The Last Chance', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Public Image', 'The Lives of Animals', 'The Violent Bear It Away', 'The Two Captains', 'The Trellisane Confrontation', 'The Vulcan Academy",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Canadian documentaries about homelessness and LGBT
",44399.0,['Ryan (film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Midnight Zoo', 'The Lives of Animals', 'The Violent Bear It Away', 'The Two Captains', 'The Trellisane Confrontation', 'The Vulcan Academy Murders', 'The Life of Verdi']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films set in Italy that are 1982 television films
",44399.0,"['Cavalleria rusticana (1982 film)' 'The Deadly Game (1982 film)'
 'The Life of Verdi (miniseries)']",6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Lighthouse at the End of the World', 'Time and the Wind']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Erico Verissimo works adapted into films
",44399.0,['Time and the Wind'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Midnight Zoo', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Young adult novels set in Oceania that are not Australian or for children
",44399.0,['Boy at War' 'The Changeover' 'The Firebird Rocket'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Blind Owl', 'The Village of No Return', 'The Invincible Constable', 'The Lives of Animals', 'The Lives of Animals', 'The Village of No Return', 'The Invincible Constable']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Iranian novels or books by Sadegh Hedayat
",44399.0,['My Uncle Napoleon' 'Savushun' 'The Blind Owl'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['Victory at Entebbe', 'The Invincible Constable', 'The Village of No Return']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Propaganda films that are epic and based on actual events.
",44399.0,['Doctor Zhivago (film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Picturegoers', 'The Violent Bear It Away', 'The Picturegoers']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1960 Catholic fiction books
",44399.0,['The Picturegoers' 'The Violent Bear It Away'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
 ['The Vulcan Academy Murders'],256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: NBC network original films about ideologies that are set in outer space.
",44399.0,['Undercover with the KKK'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Copper (1930 film)', 'The Deadly Game (1982 film)', 'The Two Captains', 'The Last Chance (1945 film)', 'The Invincible Constable', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Invincible Constable', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Invincible Constable",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1930 non american crime films
",44399.0,"['An Obvious Situation' ""That Night's Wife"" 'The Copper (1930 film)']",6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Deadly Game (1982 film)', 'Ace Attorney (film)']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s legal mystery drama films
",44399.0,['Ace Attorney (film)' 'True Story (film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Last of the Buccaneers', 'The Hounds of the Morrigan', 'First Invasion: The War of 1812']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Andrew Jackson films or films about the War or 1812
",44399.0,"['First Invasion: The War of 1812' 'Last of the Buccaneers'
 'Mohawk (2017 film)']",6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'Victory at Entebbe', 'The Invincible Constable']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films about sportspeople set in 1972
",44399.0,['Going Vertical' 'Prefontaine (film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Story Without a Name (novel)', 'The Violent Bear It Away', 'The Girl on the Stairs', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Midnight Zoo', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Violent Bear It Away', 'The Girl on the Stairs', 'The Village of No Return', 'The Invincible",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1936 Alternate history novels and books based in Asia
",44399.0,['We the Living'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Two Captains']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Books about social psychology set in the Middle Ages that are Hachette Book Group books
",44399.0,['Circe (novel)' 'Julian (novel)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
 ['A.P.E.X.'],256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films set in the year 2073
",44399.0,['A.P.E.X.'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
 ['The Lighthouse at the End of the World'],256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: French novels made in 1905.
",44399.0,['The Lighthouse at the End of the World'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Assassination of Richard Nixon', 'The Village of No Return', 'The Invincible Constable']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2004 films that are set in 1974
",44399.0,"['Anchorman: The Legend of Ron Burgundy'
 'The Assassination of Richard Nixon']",6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['Demoni', 'The Two Who Stole the Moon', 'The Violent Bear It Away', 'The Village of No Return', 'The Adventures of Jinbao', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', '",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Bulgarian animated films or Polish or Belgian animated fantasy films
",44399.0,['Demoni (2012 film)' 'Dragon Rider (film)' 'Felix the Cat: The Movie'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels adapted into radio programs that are set during WWI
",44399.0,['All Quiet on the Western Front'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Midnight Zoo', 'Nails (2003 film)', 'The Phantom (2021 film)', 'The Two Who Stole the Moon', 'The Violent Bear It Away', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Phantom (2021 film)', 'The Two Who Stole the Moon', 'The Violent Bear It Away', 'The Village of No Return', 'The Inv",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror drama films from the 2000s or Karel Jaromír Erben films
",44399.0,['Little Otik' 'Nails (2003 film)' 'Princess Goldilocks'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Adventures of Jinbao', 'Durgeshnandini', 'We the Living', 'Anandamath']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Bengali written Indian historical novels
",44399.0,['Anandamath' 'Durgeshnandini' 'Those Days (novel)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
 ['The Phantom (2021 film)'],256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1970s television films set in Palestine about terrorism
",44399.0,['Victory at Entebbe'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Village of No Return', 'The Lives of Animals', 'The Midnight Zoo', 'The Public Image', 'The Gate to Women's Country', 'The Two Captains', 'The Two Who Stole the Moon', 'The Changeover', 'The Hounds of the Morrigan', 'The Last Mistress', 'The Last Chance', 'The Lives of Animals', 'The Midnight Zoo', 'The Public Image', 'The Gate to Women's",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: fictional WWII novels about antisemitisim.
",44399.0,['The Boys from Brazil (novel)' 'The Portage to San Cristobal of A.H.'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Lives of Animals', 'Hild', 'The Girl on the Stairs', 'The Portage to San Cristobal of A.H.', 'The Violent Bear It Away', 'The Final Nexus', 'The Vulcan Academy Murders', 'The Lives of Animals', 'The Girl on the Stairs', 'The Portage to San Cristobal of A.H.', 'The Violent Bear It Away', 'The Final Nexus', 'The Vulcan Academy Murders']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: English books published by Farrar Straus and Giroux
",44399.0,['Hild (novel)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Midnight Zoo', 'The Phantom', 'The Violent Bear It Away', 'The Lives of Animals', 'The Girl on the Stairs', 'The Peacekeepers', 'The Final Reflection', 'The Trellisane Confrontation', 'The Vulcan Academy Murders', 'The Lives of Animals', 'The Violent Bear It Away', 'The Lives of Animals', '",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Europe that are Austrian drama films and English language French films.
",44399.0,['Taking Sides (film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Two Captains', 'The Master of Taiga', 'The Portage to San Cristobal of A.H.']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels set in Russia and the Arctic about war and conflict
",44399.0,['The Samovar Girl' 'The Two Captains'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Glassworker', 'Star Healer', 'Illywhacker']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: English-language novels that are 1985 speculative fiction but not American 1985 novels
",44399.0,['Illywhacker' 'Star Healer' 'The Hounds of the Morrigan'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Invincible Constable', 'A.P.E.X.', 'The Adventures of Jinbao', 'The Village of No Return', 'The Public Image', 'The Violent Bear It Away', 'The Two Captains', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', '",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Historical Chinese martial arts films about terrorism
",44399.0,"[""A Queen's Ransom""]",6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Blind Owl', 'The Changeover', 'The Hounds of the Morrigan', 'The Life of Verdi', 'The Master of Taiga', 'The Two Captains', 'The Village of No Return', 'The Violent Bear It Away', 'The Two Who Stole the Moon', 'The Midnight Zoo', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Peacekeepers', 'The Girl on the Stairs', 'The Two Who St",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Iranian and Asian short films from 2010's
",44399.0,['Game Over (2013 film)' 'The Poot' 'Two & Two (2011 film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Story Without a Name (novel)', 'The Girl on the Stairs', 'The Assassination of Richard Nixon', 'The Peacekeepers', 'The Two Captains', 'The Violent Bear It Away', 'The Girl on the Stairs', 'The Violent Bear It Away', 'The Peacekeepers', 'The Two Captains', 'The Violent Bear It Away', 'The Peacekeepers', 'The Two Captains', 'The Violent Bear It Away', '",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1968 art novels
",44399.0,['It Happened in Boston?' 'The Public Image'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Gate to Women's Country', 'To the Finland Station', 'The Public Image', 'The Midnight Zoo', 'The Lives of Animals', 'The Violent Bear It Away', 'The Story Without a Name (novel)', 'The Lives of Animals', 'The Violent Bear It Away', 'The Public Image', 'The Midnight Zoo', 'The Lives of Animals', 'The Story Without a Name (novel)', 'The Lives of Animals', 'The Violent Bear It",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: books about socialism and the french revolution
",44399.0,['To the Finland Station'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
