id,answers,prediction,tokens,latency_s,score
loft:quest_128k:0,"[""A Case of Need""]","TITLE: The Fall of Hyperion (novel) | ID: 117
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: ",122153,179.26,0.0
loft:quest_128k:1,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]","TITLE: Five Point Someone | ID: 112
TITLE: The 3 Mistakes of My Life | ID: 126
Final Answer: ['Five Point Someone', 'The 3 Mistakes of My Life']",118114,2.99,0.6666666666666666
loft:quest_128k:2,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]",Final Answer: [],118067,1.02,0.0
loft:quest_128k:3,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]","TITLE: A Taxi Driver | ID: 162
TITLE: Maa Alludu Very Good | ID: 261
TITLE: The Village of No Return | ID: 78
TITLE: The Adventures of Jinbao | ID: 196
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Poot | ID: 272
TITLE: The King and the Clown | ID: 298
TITLE: The Glassworker | ID: 274
TITLE: The Final Reflection | ID: 295
TITLE: The King's Man | ID: 43
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire Devil | ID: 226
TITLE: The Fire",122148,176.7,0.0
loft:quest_128k:4,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]","After reviewing the documents, there are no novels listed that are Hispanic and Latino American and set outside of North America.

Final Answer: []",118085,1.98,0.0
loft:quest_128k:5,"[""One Way Trip 3D""]",Final Answer: [],118056,1.0,0.0
loft:quest_128k:6,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]",Final Answer: [],118063,0.98,0.0
loft:quest_128k:7,"[""Firecrest (novel)"", ""Lament for Leto""]","TITLE: The Drowning Girl | ID: 193
TITLE: The Fire Devil | ID: 226
TITLE: The King and the Clown | ID: 253
TITLE: The Public Image | ID: 278
TITLE: The Thorn Birds | ID: 276
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Two Captains | ID: 157
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
TITLE: The Way of the Scarlet Pimpernel | ID: 186
