id,campaign,task,label,selection,k,window,read_chars,finding_chars,hops,metric,score,em,n,tokens_per_query,total_tokens,latency_s,root_peak_tokens,document_coverage,map_calls,abstained,errors,unfinished,run_name
query-6b434e94325e8acd,query,musique_128k,Evenly spaced windows · k=2,independent,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1563.0727272727272,85969,9.574363636363637,254.96296296296296,0.007165147051132303,2.0,1,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-stride__mapg-window
query-373c8384ceb51721,query,musique_128k,Oracle · gold-answer windows · k=5,oracle,5,2000,0,2000,1,subspan_em,20.0,16.363636363636363,55,3929.018181818182,216096,9.185272727272729,405.8936170212766,0.019684264411518115,5.0,8,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__mapg-window
query-a203f520962ac0b7,query,musique_128k,Lead windows · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3465.2363636363634,190588,4.523090909090909,256.75,0.018305120203622655,5.0,51,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-lead__mapg-window
query-1877ad76fcaa2ac1,query,musique_128k,Random · seed 0 · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3574.6545454545453,196606,2.56090909090909,407.6666666666667,0.02170020492225474,5.0,52,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s0__mapg-window
query-d99f26db17b53dbe,query,musique_128k,Random · seed 1 · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3560.163636363636,195809,1.9760000000000004,371.5,0.021760112588375687,5.0,53,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s1__mapg-window
query-ac23e5c4505f9769,query,musique_128k,Random · seed 2 · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3545.2727272727275,194990,1.909636363636364,238.0,0.02166850774441297,5.0,53,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s2__mapg-window
query-9cb01817b8fce590,query,musique_128k,Evenly spaced windows · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3620.418181818182,199123,10.286363636363633,253.0,0.020240232910862774,5.0,1,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-stride__mapg-window
query-34cedd10ab38c78e,query,musique_128k,Exhaustive · every window,independent,72,8000,0,1666,1,subspan_em,20.0,9.090909090909092,55,164092.07272727272,9025064,88.45727272727272,712.9473684210526,1.0,72.0,17,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file72__sel-all__win8000o1600__mapg-window__find1666
query-585fd52b82ed46ed,query,nq_128k,BM25 · task + question · k=10,aware,10,2000,0,2000,1,subspan_em,58.18181818181818,47.27272727272727,55,6710.509090909091,369078,21.488363636363637,342.6909090909091,0.03568869492203304,10.0,0,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window
query-85f4047bb3774950,query,nq_128k,BM25 · question only · k=10,aware,10,2000,0,2000,1,subspan_em,76.36363636363637,56.36363636363636,55,7202.072727272727,396114,15.156727272727272,388.09615384615387,0.039890216866806515,9.89090909090909,3,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window__qbare
query-ab985a49199b865b,query,nq_128k,BM25 · task + question · k=2,aware,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1141.090909090909,62760,2.3418181818181822,213.54545454545453,0.004029307110591436,2.0,0,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window
query-e834df866fc4bdb8,query,nq_128k,BM25 · question only · k=2,aware,2,2000,0,2000,1,subspan_em,78.18181818181819,56.36363636363636,55,1839.3818181818183,101166,11.430909090909092,341.44,0.008148698179738137,2.0,5,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window__qbare
query-e54e1012daf42583,query,nq_128k,BM25 · task + question · k=5,aware,5,2000,0,2000,1,subspan_em,49.09090909090909,36.36363636363637,55,3279.6545454545453,180381,15.411636363636362,302.09090909090907,0.015790693210590765,5.0,0,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window
query-4a7da4836fe0fb19,query,nq_128k,BM25 · question only · k=5,aware,5,2000,0,2000,1,subspan_em,76.36363636363637,54.54545454545454,55,3901.9454545454546,214607,21.633272727272725,370.0576923076923,0.02028923221396241,5.0,3,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window__qbare
query-ef00c2e47002dbbb,query,nq_128k,Lead windows · k=10,independent,10,2000,0,2000,1,subspan_em,1.8181818181818181,1.8181818181818181,55,6748.727272727273,371180,4.306363636363637,296.3333333333333,0.03448885000715009,10.0,52,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-lead__mapg-window
query-5a0ce185266920b0,query,nq_128k,Evenly spaced windows · k=10,independent,10,2000,0,2000,1,subspan_em,1.8181818181818181,1.8181818181818181,55,6535.436363636363,359449,6.2629090909090905,220.6727272727273,0.038518157117741564,10.0,0,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-stride__mapg-window
query-e666ccfb07ca9639,query,nq_128k,Lead windows · k=2,independent,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1367.6,75218,1.7001818181818185,317.0,0.007570723172301243,2.0,54,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-lead__mapg-window
query-6dc9675263fee146,query,nq_128k,Evenly spaced windows · k=2,independent,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1157.6909090909091,63673,5.609818181818182,213.4,0.004870498574180476,2.0,0,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-stride__mapg-window
query-2f75c1622fed8974,query,nq_128k,Oracle · gold-answer windows · k=5,oracle,5,2000,0,2000,1,subspan_em,69.0909090909091,58.18181818181818,55,3439.890909090909,189194,8.568727272727273,352.3018867924528,0.016387939149738972,5.0,2,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__mapg-window
query-ba7c6ffefd3a6190,query,nq_128k,Lead windows · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3395.9454545454546,186777,4.3527272727272734,352.0,0.017665020735369578,5.0,54,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-lead__mapg-window
query-8bfa1f9e85dd2635,query,nq_128k,Random · seed 0 · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3396.581818181818,186812,1.9883636363636363,362.0,0.020980691597032582,5.0,52,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s0__mapg-window
query-e2ebc6fa7a617aba,query,nq_128k,Random · seed 1 · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3362.8,184954,1.7592727272727273,328.5,0.020904219645797213,5.0,53,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s1__mapg-window
query-e3bea14a72fbe34c,query,nq_128k,Random · seed 2 · k=5,independent,5,2000,0,2000,1,subspan_em,3.6363636363636362,3.6363636363636362,55,3385.909090909091,186225,1.834545454545455,288.0,0.02092272585799617,5.0,51,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s2__mapg-window
query-44ff59b5ca033e5b,query,nq_128k,Evenly spaced windows · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3435.163636363636,188934,8.363454545454545,213.54545454545453,0.01748837052801588,5.0,0,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-stride__mapg-window
query-b154d7ffb8ba70c0,query,nq_128k,Exhaustive · every window,independent,75,8000,0,1600,1,subspan_em,78.18181818181819,58.18181818181818,55,161713.41818181818,8894238,76.67127272727272,386.38461538461536,1.0,75.0,3,0,0,loft__nq_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file75__sel-all__win8000o1600__mapg-window__find1600
query-a7f9d9caa8e683bd,query,qampari_128k,BM25 · task + question · k=10,aware,10,2000,0,2000,1,coverage,31.575757575757567,1.8181818181818181,55,7914.890909090909,435319,24.06672727272727,581.9056603773585,0.040172441816981645,10.0,2,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window__listfmt
query-15e29a1df58c2dc3,query,qampari_128k,BM25 · question only · k=10,aware,10,2000,0,2000,1,coverage,54.66666666666667,18.181818181818183,55,8463.418181818182,465488,32.80945454545454,864.3272727272728,0.041775174689140146,9.909090909090908,0,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window__qbare__listfmt
query-2c38bb8f12f60ced,query,qampari_128k,BM25 · task + question · k=2,aware,2,2000,0,2000,1,coverage,0.0,0.0,55,1407.6,77418,0.7636363636363636,282.5,0.006806349095328234,2.0,53,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window__listfmt
query-a4d2cc6aaec96bea,query,qampari_128k,BM25 · question only · k=2,aware,2,2000,0,2000,1,coverage,22.000000000000004,0.0,55,2073.3636363636365,114035,15.428545454545453,465.5098039215686,0.008615732375005307,2.0,4,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window__qbare__listfmt
query-c5808442b4699497,query,qampari_128k,BM25 · task + question · k=5,aware,5,2000,0,2000,1,coverage,8.666666666666668,0.0,55,3818.1272727272726,209997,12.209636363636362,372.6875,0.0190464116945055,5.0,23,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window__listfmt
query-7566409a85d3e9ce,query,qampari_128k,BM25 · question only · k=5,aware,5,2000,0,2000,1,coverage,39.09090909090909,1.8181818181818181,55,4691.218181818182,258017,51.998363636363635,696.7592592592592,0.0212849919744135,5.0,1,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window__qbare__listfmt
query-3e26e1d789fb6883,query,qampari_128k,Lead windows · k=10,independent,10,2000,0,2000,1,coverage,3.272727272727273,0.0,55,7100.981818181818,390554,7.094,437.38461538461536,0.03584589761187633,10.0,42,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-lead__mapg-window__listfmt
query-6113111984026e22,query,qampari_128k,Evenly spaced windows · k=10,independent,10,2000,0,2000,1,coverage,1.8181818181818181,0.0,55,6976.2,383691,3.796909090909091,353.64285714285717,0.04265224670720461,10.0,41,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-stride__mapg-window__listfmt
query-8bccc95952865221,query,qampari_128k,Lead windows · k=2,independent,2,2000,0,2000,1,coverage,0.36363636363636365,0.0,55,1423.2,78276,1.5940000000000003,274.0,0.007868611670899693,2.0,54,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-lead__mapg-window__listfmt
query-a364314437fcb915,query,qampari_128k,Evenly spaced windows · k=2,independent,2,2000,0,2000,1,coverage,0.36363636363636365,0.0,55,1358.8545454545454,74737,1.473090909090909,274.0,0.007680639280983742,2.0,53,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-stride__mapg-window__listfmt
query-2466c9e20897e75a,query,qampari_128k,Oracle · gold-answer windows · k=5,oracle,5,2000,0,2000,1,coverage,54.606060606060616,10.909090909090908,55,4752.763636363637,261402,18.14745454545454,707.6727272727272,0.021571123307900755,5.0,0,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__mapg-window__listfmt
query-7eeb55d05f31d5b0,query,qampari_128k,Lead windows · k=5,independent,5,2000,0,2000,1,coverage,1.090909090909091,0.0,55,3565.690909090909,196113,4.249818181818182,354.8333333333333,0.018360093898765924,5.0,49,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-lead__mapg-window__listfmt
query-33a82689200bbfb7,query,qampari_128k,Random · seed 0 · k=5,independent,5,2000,0,2000,1,coverage,2.1212121212121215,0.0,55,3555.2909090909093,195541,1.8027272727272723,341.5,0.02178683454097976,5.0,47,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s0__mapg-window__listfmt
query-6aa49813159a7eb1,query,qampari_128k,Random · seed 1 · k=5,independent,5,2000,0,2000,1,coverage,1.393939393939394,0.0,55,3594.8,197714,4.259454545454546,463.3333333333333,0.021716414440571506,5.0,49,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s1__mapg-window__listfmt
query-ff4cbf323d22ee52,query,qampari_128k,Random · seed 2 · k=5,independent,5,2000,0,2000,1,coverage,1.4545454545454546,0.0,55,3526.309090909091,193947,1.814727272727273,371.3333333333333,0.021822044591183885,5.0,49,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s2__mapg-window__listfmt
query-6b659160deb85d6f,query,qampari_128k,Evenly spaced windows · k=5,independent,5,2000,0,2000,1,coverage,1.8181818181818181,0.0,55,3456.090909090909,190085,3.7183636363636356,306.0,0.02079499206581658,5.0,44,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-stride__mapg-window__listfmt
query-84991bdf058f7754,query,qampari_128k,Exhaustive · every window,independent,72,8000,0,1666,1,coverage,59.27272727272728,23.636363636363637,55,164315.8,9037369,113.08036363636361,1047.8,1.0,72.0,0,0,0,loft__qampari_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file72__sel-all__win8000o1600__mapg-window__find1666__listfmt
query-f650e9b3c71a95a5,query,quest_128k,BM25 · task + question · k=10,aware,10,2000,0,2000,1,coverage,21.515151515151512,12.727272727272727,55,7412.418181818181,407683,22.158000000000005,747.7555555555556,0.03798795299440869,10.0,10,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window__listfmt
query-a2da7d734acea379,query,quest_128k,BM25 · question only · k=10,aware,10,2000,0,2000,1,coverage,30.0,12.727272727272727,55,8374.527272727273,460599,33.324000000000005,1093.7,0.03958427261178034,10.0,5,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window__qbare__listfmt
query-855fe35cafdee015,query,quest_128k,BM25 · task + question · k=2,aware,2,2000,0,2000,1,coverage,0.0,0.0,55,1127.6,62018,0.6934545454545453,,0.005220519813727542,2.0,55,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window__listfmt
query-074030eeb75e68ee,query,quest_128k,BM25 · question only · k=2,aware,2,2000,0,2000,1,coverage,25.757575757575758,10.909090909090908,55,2071.509090909091,113933,18.95581818181818,610.0243902439024,0.008133000509259275,2.0,14,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window__qbare__listfmt
query-84e72517e64e9d86,query,quest_128k,BM25 · task + question · k=5,aware,5,2000,0,2000,1,coverage,12.12121212121212,5.454545454545454,55,3545.327272727273,194993,19.75072727272727,521.0,0.017625118483323023,5.0,23,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window__listfmt
query-d6d856be2c4cda28,query,quest_128k,BM25 · question only · k=5,aware,5,2000,0,2000,1,coverage,30.303030303030305,14.545454545454545,55,4660.509090909091,256328,53.48,892.3333333333334,0.019978299488536383,5.0,7,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window__qbare__listfmt
query-e64aa6e30fa52771,query,quest_128k,Lead windows · k=10,independent,10,2000,0,2000,1,coverage,1.8181818181818181,0.0,55,6554.236363636363,360483,4.245636363636364,492.27272727272725,0.03398829890636428,10.0,44,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-lead__mapg-window__listfmt
query-015c8c6c28c8ced4,query,quest_128k,Evenly spaced windows · k=10,independent,10,2000,0,2000,1,coverage,4.8484848484848495,3.6363636363636362,55,6716.8,369424,7.670545454545454,566.6428571428571,0.03920881872009187,10.0,27,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-stride__mapg-window__listfmt
query-58908b917c8088db,query,quest_128k,Lead windows · k=2,independent,2,2000,0,2000,1,coverage,1.2121212121212122,0.0,55,1355.6363636363637,74560,2.5016363636363637,401.0,0.007460846101397039,2.0,50,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-lead__mapg-window__listfmt
query-cd953ecbd85c0e65,query,quest_128k,Evenly spaced windows · k=2,independent,2,2000,0,2000,1,coverage,0.6060606060606061,0.0,55,1070.7454545454545,58891,1.994181818181818,423.0,0.00604950271388277,2.0,54,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-stride__mapg-window__listfmt
query-717607fb3b328b0f,query,quest_128k,Lead windows · k=5,independent,5,2000,0,2000,1,coverage,1.2121212121212122,0.0,55,3296.6,181313,2.8665454545454545,395.0,0.017408640903259772,5.0,48,0,0,loft__quest_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-lead__mapg-window__listfmt
