method,model,dataset,split,logical_kv_budget_gb,kv_budget_tokens,chunk_factor,chunk_tokens,press,search_k,em,subspan_em,f1,num_samples,scored,errors,unfinished,fit_failure_examples,document_coverage_fraction,effective_compression_factor,source_commit
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,4,27126,4,108504,kvzip,0,0.16363636363636364,0.2909090909090909,0.22807155339691518,55,55,0,1,2,0.8363636363636363,3.990280405925805,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,8,54253,1,54253,no_press,0,0.10909090909090909,0.23636363636363636,0.15023247546438154,55,55,0,1,0,0.5386242347875602,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,8,54253,2,108506,kvzip,0,0.18181818181818182,0.32727272727272727,0.23004430486413385,55,55,0,3,0,0.8909090909090909,1.9999935048999384,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,2,13563,1,13563,no_press,0,0.0,0.01818181818181818,0.04611750941162705,55,55,0,1,0,0.16095779362284487,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,2,13563,2,27126,kvzip,0,0.0,0.03636363636363636,0.027284599458512502,55,55,0,0,0,0.2596427173356622,1.9999955762195256,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,2,13563,4,54252,kvzip,0,0.01818181818181818,0.01818181818181818,0.051245101556878066,55,55,0,0,0,0.5479662694481999,3.999846793286381,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,2,13563,8,108504,kvzip,0,0.0,0.0,0.006436415468673534,55,55,0,0,2,0.8545454545454545,7.999285860028566,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,4,27126,1,27126,no_press,0,0.0,0.03636363636363636,0.0335783057522188,55,55,0,0,0,0.2552981436547798,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,4,27126,2,54252,kvzip,0,0.01818181818181818,0.01818181818181818,0.058796257505934924,55,55,0,0,0,0.5525471059684205,1.9999706886881532,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,4,27126,4,108504,kvzip,0,0.0,0.01818181818181818,0.011724836724836724,55,55,0,1,1,0.8545454545454545,3.9999083988566984,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,8,54253,1,54253,no_press,0,0.0,0.01818181818181818,0.004657341085350527,55,55,0,0,2,0.4759204860445248,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,musique_128k,test,8,54253,2,108506,kvzip,0,0.0,0.0,0.02271875687760085,55,55,0,0,3,0.8363636363636363,1.999988788811614,c448c971e361d42c6628a607cfb551187cc8767d
